anio,tabla,pregunta,dimension,ambito,total_empresas,total_trabajadores,varones,mujeres,distribucion_porcentual_varones,distribucion_porcentual_mujeres
2021,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Galicia,17296,420679,238128,182551,56.6,43.4
2021,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Madrid (Comunidad de),47859,2577275,1469096,1108179,57,43
2021,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Murcia (Región de),10341,233520,150133,83387,64.3,35.7
2021,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,Navarra (Comunidad Foral de),4465,133582,87945,45637,65.8,34.2
2021,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,País Vasco,15478,475418,306334,169084,64.4,35.6
2021,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",COMUNIDAD AUTÓNOMA,"Rioja, La",2345,48312,30872,17440,63.9,36.1
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TOTAL,ENCUESTA ANUAL LABORAL TOTAL,334703,9874756,5833500,4041256,59.1,40.9
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 5 a 9 trabajadores,171906,1114030,648375,465655,58.2,41.8
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 10 a 49 trabajadores,138250,2695614,1735966,959648,64.4,35.6
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 50 a 249 trabajadores,20534,2034616,1289742,744874,63.4,36.6
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,De 250 a 499 trabajadores,2213,758462,447351,311111,59,41
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",TAMAÑO DE LA EMPRESA,Más de 499 trabajadores,1800,3272034,1712066,1559968,52.3,47.7
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Industria,52003,1994713,1455622,539091,73,27
2022,EAL-C1,"EMPRESAS Y TRABAJADORES SEGÚN SEXO, POR TAMAÑO DE LA EMPRESA, ACTIVIDAD ECONÓMICA Y COMUNIDAD AUTÓNOMA",ACTIVIDAD ECONÓMICA,Construcción,42627,741950,657548,84402,88.6,11.4
