Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Residencia: Nivel 2,Periodo,Total,cod_comunidad,nombre_comunidad,cod_provincia,nombre_provincia,año,mes
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M07,29175038,,,,,2024,7
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M06,25837418,,,,,2024,6
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M05,25077285,,,,,2024,5
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M04,18214927,,,,,2024,4
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M03,15098591,,,,,2024,3
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M02,11807033,,,,,2024,2
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2024M01,10729421,,,,,2024,1
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M12,10550395,,,,,2023,12
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M11,12066353,,,,,2023,11
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M10,22753513,,,,,2023,10
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M09,26197078,,,,,2023,9
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M08,29147145,,,,,2023,8
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M07,27805620,,,,,2023,7
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M06,24038955,,,,,2023,6
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M05,22403599,,,,,2023,5
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M04,17297363,,,,,2023,4
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M03,12560069,,,,,2023,3
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M02,10308214,,,,,2023,2
Total Nacional,,,Pernoctaciones,Residentes en el Extranjero,2023M01,9661665,,,,,2023,1
