apartment_id,grupo_valoracion
3445805,Excelentes (9-10)
3448147,Excelentes (9-10)
3453772,Excelentes (9-10)
3454239,Excelentes (9-10)
3454527,Excelentes (9-10)
3461009,Insuficiente Bajo (0-3)
3472196,Notables (7-9)
3473811,Notables (7-9)
3474270,Excelentes (9-10)
3478893,Notables (7-9)
3486515,Notables (7-9)
3486890,Notables (7-9)
3496538,Excelentes (9-10)
3502046,Notables (7-9)
3504143,Notables (7-9)
3505101,Insuficiente Bajo (0-3)
3507362,Excelentes (9-10)
3507552,Excelentes (9-10)
3515468,Excelentes (9-10)
3517921,Excelentes (9-10)
3519688,Notables (7-9)
3524968,Excelentes (9-10)
3525932,Excelentes (9-10)
3535864,Excelentes (9-10)
3546336,Excelentes (9-10)
3556913,Suficientes (5-7)
3559666,Excelentes (9-10)
3562298,Notables (7-9)
3566697,Excelentes (9-10)
3576884,Notables (7-9)
3578960,Excelentes (9-10)
3583512,Notables (7-9)
3584830,Excelentes (9-10)
3588117,Notables (7-9)
3589257,Excelentes (9-10)
3591001,Excelentes (9-10)
3592556,Notables (7-9)
3593609,Excelentes (9-10)
3598284,Notables (7-9)
3599402,Excelentes (9-10)
3626464,Notables (7-9)
3631912,Excelentes (9-10)
3634997,Notables (7-9)
3641337,Excelentes (9-10)
3643732,Excelentes (9-10)
3653355,Notables (7-9)
3658759,Insuficiente Bajo (0-3)
3683800,Notables (7-9)
3685880,Notables (7-9)
3691083,Excelentes (9-10)
3691270,Excelentes (9-10)
3691867,Excelentes (9-10)
3692920,Suficientes (5-7)
3696539,Excelentes (9-10)
3699971,Notables (7-9)
3701970,Notables (7-9)
3706498,Excelentes (9-10)
3735449,Excelentes (9-10)
3739160,Excelentes (9-10)
3757544,Excelentes (9-10)
3760411,Excelentes (9-10)
3764223,Excelentes (9-10)
3764496,Notables (7-9)
3770072,Excelentes (9-10)
3771149,Excelentes (9-10)
3773519,Excelentes (9-10)
3776198,Excelentes (9-10)
3776211,Notables (7-9)
3776686,Excelentes (9-10)
3780718,Notables (7-9)
