Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M10;26.590
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M09;38.157
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M08;40.657
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M07;39.263
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M06;31.764
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M05;29.765
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M04;19.452
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M03;13.414
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M02;10.336
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2023M01;10.028
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M12;8.827
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M11;11.372
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M10;24.498
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M09;33.039
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M08;38.719
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M07;36.755
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M06;30.293
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M05;26.867
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M04;17.662
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M03;12.017
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M02;9.438
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2022M01;8.314
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2021M12;8.857
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2021M11;9.978
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2021M10;20.856
Andalucía: Costa De Almería;Viajero;Residentes en el Extranjero;2021M09;24.958
