apartment_id,city,room_type,price_€,availability_30,availability_60,availability_90,availability_365,has_availability_numeric,occupancy_30,occupancy_rate_30,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,rating_above_80
12090952,barcelona,Private room,700.0,5,35,65,65,,25,83.33,100.0,10.0,10.0,10.0,10.0,10.0,True
12032919,barcelona,Shared room,700.0,30,60,90,365,,0,0.0,80.0,7.0,8.0,9.0,9.0,8.0,False
6844528,barcelona,Entire home/apt,980.0,20,43,73,348,,10,33.33,60.0,8.0,9.0,8.0,8.0,8.0,False
565758,barcelona,Entire home/apt,900.0,5,9,10,262,,25,83.33,97.0,10.0,10.0,10.0,10.0,9.0,True
11607312,barcelona,Private room,300.0,4,8,14,90,,26,86.67,94.0,9.0,10.0,10.0,10.0,9.0,True
7030624,barcelona,Entire home/apt,1140.0,4,7,27,40,,26,86.67,87.0,9.0,9.0,10.0,10.0,8.0,True
11545511,barcelona,Private room,480.0,5,9,39,314,,25,83.33,97.0,10.0,10.0,10.0,10.0,10.0,True
11319343,barcelona,Private room,1500.0,0,9,11,11,,30,100.0,,,,,,,
461943,barcelona,Private room,490.0,19,49,79,79,,11,36.67,100.0,10.0,10.0,6.0,10.0,8.0,True
378998,barcelona,Private room,200.0,0,0,0,0,,30,100.0,,,,,,,
7725978,barcelona,Entire home/apt,600.0,11,41,71,346,,19,63.33,91.0,10.0,9.0,10.0,10.0,10.0,True
8978429,barcelona,Shared room,100.0,24,54,84,359,,6,20.0,95.0,10.0,9.0,10.0,10.0,10.0,True
15245258,barcelona,Entire home/apt,1200.0,0,0,0,0,,30,100.0,87.0,9.0,8.0,10.0,10.0,9.0,True
15472647,barcelona,Private room,800.0,7,28,50,286,,23,76.67,90.0,10.0,9.0,10.0,10.0,10.0,True
13327229,barcelona,Private room,250.0,20,39,61,61,,10,33.33,100.0,10.0,10.0,10.0,10.0,10.0,True
16372552,barcelona,Private room,300.0,4,23,53,82,,26,86.67,91.0,9.0,9.0,9.0,8.0,9.0,True
3502046,barcelona,Entire home/apt,790.0,11,15,37,312,,19,63.33,78.0,9.0,7.0,9.0,10.0,9.0,False
17218653,barcelona,Private room,500.0,0,0,6,6,,30,100.0,90.0,10.0,10.0,10.0,10.0,10.0,True
1263442,barcelona,Entire home/apt,900.0,0,0,0,120,,30,100.0,85.0,9.0,9.0,10.0,9.0,9.0,True
1257705,barcelona,Private room,350.0,7,22,35,307,,23,76.67,92.0,9.0,9.0,10.0,10.0,10.0,True
16866028,barcelona,Entire home/apt,1580.0,9,18,46,46,,21,70.0,89.0,9.0,8.0,10.0,10.0,9.0,True
16819376,barcelona,Entire home/apt,1090.0,0,0,4,4,,30,100.0,90.0,10.0,9.0,9.0,9.0,10.0,True
16389496,barcelona,Entire home/apt,1200.0,0,1,25,25,,30,100.0,,,,,,,
4588053,barcelona,Private room,390.0,0,0,0,0,,30,100.0,,,,,,,
16293013,barcelona,Private room,300.0,1,4,7,263,,29,96.67,91.0,10.0,9.0,10.0,10.0,9.0,True
4065756,barcelona,Private room,500.0,1,20,28,269,,29,96.67,82.0,9.0,8.0,10.0,10.0,7.0,True
14248640,barcelona,Private room,220.0,5,8,38,313,,25,83.33,93.0,10.0,10.0,9.0,10.0,10.0,True
4401797,barcelona,Entire home/apt,790.0,9,24,44,319,,21,70.0,,,,,,,
4509281,barcelona,Entire home/apt,1650.0,25,53,83,358,,5,16.67,80.0,10.0,8.0,4.0,6.0,8.0,False
16119549,barcelona,Private room,390.0,3,13,22,91,,27,90.0,98.0,10.0,10.0,10.0,10.0,10.0,True
3337390,barcelona,Entire home/apt,1000.0,7,27,27,27,,23,76.67,,,,,,,
3685880,barcelona,Private room,350.0,0,0,0,0,,30,100.0,89.0,10.0,9.0,10.0,10.0,9.0,True
19167031,barcelona,Entire home/apt,950.0,3,8,16,105,,27,90.0,,,,,,,
3562298,barcelona,Entire home/apt,500.0,3,7,12,275,,27,90.0,86.0,9.0,9.0,9.0,9.0,9.0,True
7178644,barcelona,Private room,400.0,0,0,0,0,,30,100.0,87.0,10.0,9.0,9.0,10.0,9.0,True
