Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M11;10.066
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M10;12.563
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M09;23.451
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M08;42.444
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M07;39.275
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M06;31.433
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M05;21.735
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M04;15.823
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M03;13.991
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M02;6.668
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2024M01;4.781
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M12;5.725
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M11;7.680
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M10;11.991
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M09;25.774
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M08;39.135
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M07;37.660
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M06;27.813
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M05;17.094
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M04;20.375
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M03;9.472
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M02;8.180
Andalucía: Costa Tropical (Granada);Viajero;Residentes en España;2023M01;4.360
