Totales Territoriales;Provincias;Viajeros y pernoctaciones;Totales Territoriales.1;Comunidades y Ciudades Autónomas;Periodo;Total
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M05;1,36
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M04;1,4
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M03;1,37
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M02;1,48
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2025M01;1,25
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M12;1,33
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M11;1,41
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M10;1,49
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M09;1,4
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M08;1,05
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M07;1,16
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M06;1,28
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M05;1,27
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M04;1,25
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M03;1,32
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M02;1,38
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2024M01;1,23
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M12;1,24
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M11;1,54
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M10;1,37
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M09;1,39
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M08;0,98
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M07;1,14
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M06;1,27
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M05;1,33
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M04;1,24
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M03;1,23
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M02;1,38
Total Nacional;;Viajero;Total Nacional;06 Cantabria;2023M01;1,14
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M12;5,11
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M11;5,02
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M10;5,21
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M09;5,44
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M08;4,57
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M07;5,3
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M06;5,44
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M05;5,05
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M04;4,92
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M03;5,33
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M02;4,84
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2025M01;4,77
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M12;5
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M11;5,02
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M10;4,97
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M09;5,26
Total Nacional;;Viajero;Total Nacional;07 Castilla y León;2024M08;4,4
