Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M06;3.691
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M05;4.231
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M04;4.084
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M03;3.868
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M02;3.963
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2024M01;2.859
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M12;2.521
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M11;4.716
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M10;4.305
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M09;4.417
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M08;4.601
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M07;4.357
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M06;4.280
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M05;5.045
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M04;4.496
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M03;4.459
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M02;5.821
02003 Albacete;Pernoctaciones;Residentes en el Extranjero;2023M01;4.136
03014 Alacant/Alicante;Viajero;Residentes en España;2025M12;28.033
03014 Alacant/Alicante;Viajero;Residentes en España;2025M11;28.688
03014 Alacant/Alicante;Viajero;Residentes en España;2025M10;30.554
03014 Alacant/Alicante;Viajero;Residentes en España;2025M09;29.870
03014 Alacant/Alicante;Viajero;Residentes en España;2025M08;34.211
03014 Alacant/Alicante;Viajero;Residentes en España;2025M07;36.130
03014 Alacant/Alicante;Viajero;Residentes en España;2025M06;39.498
03014 Alacant/Alicante;Viajero;Residentes en España;2025M05;32.430
03014 Alacant/Alicante;Viajero;Residentes en España;2025M04;31.384
03014 Alacant/Alicante;Viajero;Residentes en España;2025M03;27.575
03014 Alacant/Alicante;Viajero;Residentes en España;2025M02;26.167
03014 Alacant/Alicante;Viajero;Residentes en España;2025M01;22.062
03014 Alacant/Alicante;Viajero;Residentes en España;2024M12;27.977
03014 Alacant/Alicante;Viajero;Residentes en España;2024M11;29.895
03014 Alacant/Alicante;Viajero;Residentes en España;2024M10;29.776
03014 Alacant/Alicante;Viajero;Residentes en España;2024M09;29.355
03014 Alacant/Alicante;Viajero;Residentes en España;2024M08;37.669
03014 Alacant/Alicante;Viajero;Residentes en España;2024M07;36.730
03014 Alacant/Alicante;Viajero;Residentes en España;2024M06;40.499
03014 Alacant/Alicante;Viajero;Residentes en España;2024M05;35.098
03014 Alacant/Alicante;Viajero;Residentes en España;2024M04;33.550
03014 Alacant/Alicante;Viajero;Residentes en España;2024M03;35.364
03014 Alacant/Alicante;Viajero;Residentes en España;2024M02;29.858
03014 Alacant/Alicante;Viajero;Residentes en España;2024M01;26.276
03014 Alacant/Alicante;Viajero;Residentes en España;2023M12;29.884
03014 Alacant/Alicante;Viajero;Residentes en España;2023M11;30.010
03014 Alacant/Alicante;Viajero;Residentes en España;2023M10;35.128
03014 Alacant/Alicante;Viajero;Residentes en España;2023M09;32.111
03014 Alacant/Alicante;Viajero;Residentes en España;2023M08;39.561
03014 Alacant/Alicante;Viajero;Residentes en España;2023M07;39.339
03014 Alacant/Alicante;Viajero;Residentes en España;2023M06;41.787
03014 Alacant/Alicante;Viajero;Residentes en España;2023M05;35.308
03014 Alacant/Alicante;Viajero;Residentes en España;2023M04;31.141
03014 Alacant/Alicante;Viajero;Residentes en España;2023M03;32.923
03014 Alacant/Alicante;Viajero;Residentes en España;2023M02;27.569
03014 Alacant/Alicante;Viajero;Residentes en España;2023M01;24.706
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M12;41.245
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M11;41.466
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M10;50.828
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M09;49.926
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M08;55.954
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M07;55.215
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M06;46.900
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M05;49.141
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M04;44.449
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M03;41.081
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M02;35.885
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2025M01;29.874
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M12;29.277
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M11;34.716
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M10;50.709
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M09;50.475
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M08;50.401
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M07;50.576
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M06;42.352
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M05;51.114
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M04;46.530
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M03;39.614
03014 Alacant/Alicante;Viajero;Residentes en el Extranjero;2024M02;36.378
