Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M11;84.812
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M10;184.681
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M09;497.553
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M08;808.303
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M07;741.323
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M06;521.661
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M05;351.956
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M04;273.876
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M03;191.016
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M02;142.891
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2025M01;57.276
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M12;85.850
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M11;76.730
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M10;174.965
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M09;463.225
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M08;800.807
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M07;692.901
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M06;464.034
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M05;353.356
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M04;275.849
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M03;221.719
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M02;127.376
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2024M01;52.048
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M12;83.742
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M11;70.365
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M10;183.488
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M09;470.365
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M08;817.519
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M07;734.087
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M06;454.346
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M05;275.524
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M04;217.863
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M03;132.235
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M02;99.001
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2023M01;60.237
Total Nacional;01 Andalucía;04 Almería;Total;Residentes en España;Pernoctaciones;2022M12;75.710
