Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;01 Andalucía;23 Jaén;2022M11;1,84
Total Nacional;01 Andalucía;23 Jaén;2022M10;1,84
Total Nacional;01 Andalucía;23 Jaén;2022M09;1,78
Total Nacional;01 Andalucía;23 Jaén;2022M08;2,07
Total Nacional;01 Andalucía;23 Jaén;2022M07;1,81
Total Nacional;01 Andalucía;23 Jaén;2022M06;1,79
Total Nacional;01 Andalucía;23 Jaén;2022M05;1,84
Total Nacional;01 Andalucía;23 Jaén;2022M04;1,89
Total Nacional;01 Andalucía;23 Jaén;2022M03;1,85
Total Nacional;01 Andalucía;23 Jaén;2022M02;1,80
Total Nacional;01 Andalucía;23 Jaén;2022M01;1,66
Total Nacional;01 Andalucía;29 Málaga;2026M03;3,25
Total Nacional;01 Andalucía;29 Málaga;2026M02;3,32
Total Nacional;01 Andalucía;29 Málaga;2026M01;3,34
Total Nacional;01 Andalucía;29 Málaga;2025M12;2,92
Total Nacional;01 Andalucía;29 Málaga;2025M11;3,14
Total Nacional;01 Andalucía;29 Málaga;2025M10;3,66
Total Nacional;01 Andalucía;29 Málaga;2025M09;3,65
Total Nacional;01 Andalucía;29 Málaga;2025M08;3,97
Total Nacional;01 Andalucía;29 Málaga;2025M07;3,86
Total Nacional;01 Andalucía;29 Málaga;2025M06;3,74
Total Nacional;01 Andalucía;29 Málaga;2025M05;3,41
Total Nacional;01 Andalucía;29 Málaga;2025M04;3,39
Total Nacional;01 Andalucía;29 Málaga;2025M03;3,36
Total Nacional;01 Andalucía;29 Málaga;2025M02;3,21
Total Nacional;01 Andalucía;29 Málaga;2025M01;3,13
Total Nacional;01 Andalucía;29 Málaga;2024M12;3,06
Total Nacional;01 Andalucía;29 Málaga;2024M11;3,20
Total Nacional;01 Andalucía;29 Málaga;2024M10;3,63
Total Nacional;01 Andalucía;29 Málaga;2024M09;3,80
Total Nacional;01 Andalucía;29 Málaga;2024M08;3,96
Total Nacional;01 Andalucía;29 Málaga;2024M07;3,82
Total Nacional;01 Andalucía;29 Málaga;2024M06;3,55
