Comunidades y Ciudades Autónomas,Provincias,Periodo,Estancia media,Provincia limpia,Periodo fecha
Andalucía,Granada,2023M04,2.04,Granada,2023-04-01
Andalucía,Granada,2023M03,1.88,Granada,2023-03-01
Andalucía,Granada,2023M02,1.9,Granada,2023-02-01
Andalucía,Granada,2023M01,1.85,Granada,2023-01-01
Andalucía,Granada,2022M12,1.89,Granada,2022-12-01
Andalucía,Granada,2022M11,1.95,Granada,2022-11-01
Andalucía,Granada,2022M10,2.08,Granada,2022-10-01
Andalucía,Granada,2022M09,2.11,Granada,2022-09-01
Andalucía,Granada,2022M08,2.28,Granada,2022-08-01
Andalucía,Granada,2022M07,2.2,Granada,2022-07-01
Andalucía,Granada,2022M06,1.99,Granada,2022-06-01
Andalucía,Granada,2022M05,1.97,Granada,2022-05-01
Andalucía,Granada,2022M04,2.03,Granada,2022-04-01
Andalucía,Granada,2022M03,1.91,Granada,2022-03-01
Andalucía,Granada,2022M02,1.84,Granada,2022-02-01
Andalucía,Granada,2022M01,1.86,Granada,2022-01-01
Andalucía,Huelva,2026M03,2.41,Huelva,2026-03-01
Andalucía,Huelva,2026M02,2.52,Huelva,2026-02-01
Andalucía,Huelva,2026M01,2.19,Huelva,2026-01-01
Andalucía,Huelva,2025M12,1.98,Huelva,2025-12-01
Andalucía,Huelva,2025M11,2.35,Huelva,2025-11-01
Andalucía,Huelva,2025M10,3.0,Huelva,2025-10-01
Andalucía,Huelva,2025M09,3.64,Huelva,2025-09-01
Andalucía,Huelva,2025M08,4.11,Huelva,2025-08-01
Andalucía,Huelva,2025M07,4.04,Huelva,2025-07-01
Andalucía,Huelva,2025M06,3.48,Huelva,2025-06-01
Andalucía,Huelva,2025M05,3.17,Huelva,2025-05-01
Andalucía,Huelva,2025M04,3.31,Huelva,2025-04-01
Andalucía,Huelva,2025M03,3.52,Huelva,2025-03-01
Andalucía,Huelva,2025M02,2.73,Huelva,2025-02-01
Andalucía,Huelva,2025M01,2.35,Huelva,2025-01-01
Andalucía,Huelva,2024M12,1.99,Huelva,2024-12-01
Andalucía,Huelva,2024M11,2.38,Huelva,2024-11-01
Andalucía,Huelva,2024M10,3.23,Huelva,2024-10-01
Andalucía,Huelva,2024M09,3.83,Huelva,2024-09-01
Andalucía,Huelva,2024M08,4.24,Huelva,2024-08-01
Andalucía,Huelva,2024M07,4.19,Huelva,2024-07-01
Andalucía,Huelva,2024M06,3.57,Huelva,2024-06-01
Andalucía,Huelva,2024M05,3.23,Huelva,2024-05-01
Andalucía,Huelva,2024M04,3.21,Huelva,2024-04-01
Andalucía,Huelva,2024M03,3.47,Huelva,2024-03-01
Andalucía,Huelva,2024M02,2.59,Huelva,2024-02-01
Andalucía,Huelva,2024M01,2.18,Huelva,2024-01-01
Andalucía,Huelva,2023M12,2.07,Huelva,2023-12-01
