RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Irlanda;Pernoctaciones;2023M12;268.118
Total;Irlanda;Pernoctaciones;2023M11;334.179
Total;Irlanda;Pernoctaciones;2023M10;667.551
Total;Irlanda;Pernoctaciones;2023M09;797.076
Total;Irlanda;Pernoctaciones;2023M08;781.883
Total;Irlanda;Pernoctaciones;2023M07;843.580
Total;Irlanda;Pernoctaciones;2023M06;805.595
Total;Irlanda;Pernoctaciones;2023M05;681.894
Total;Irlanda;Pernoctaciones;2023M04;526.043
Total;Irlanda;Pernoctaciones;2023M03;309.428
Total;Irlanda;Pernoctaciones;2023M02;270.757
Total;Irlanda;Pernoctaciones;2023M01;267.148
Total;Irlanda;Pernoctaciones;2022M12;215.052
Total;Irlanda;Pernoctaciones;2022M11;278.862
Total;Irlanda;Pernoctaciones;2022M10;531.972
Total;Irlanda;Pernoctaciones;2022M09;699.535
Total;Irlanda;Pernoctaciones;2022M08;680.463
Total;Irlanda;Pernoctaciones;2022M07;746.222
Total;Irlanda;Pernoctaciones;2022M06;709.437
Total;Irlanda;Pernoctaciones;2022M05;589.362
Total;Irlanda;Pernoctaciones;2022M04;423.287
Total;Irlanda;Pernoctaciones;2022M03;266.880
Total;Irlanda;Pernoctaciones;2022M02;217.798
Total;Irlanda;Pernoctaciones;2022M01;169.173
Total;Italia;Viajero;2026M03;245.577
Total;Italia;Viajero;2026M02;196.536
Total;Italia;Viajero;2026M01;199.257
Total;Italia;Viajero;2025M12;219.249
Total;Italia;Viajero;2025M11;203.100
Total;Italia;Viajero;2025M10;271.575
Total;Italia;Viajero;2025M09;327.644
Total;Italia;Viajero;2025M08;519.281
Total;Italia;Viajero;2025M07;365.458
Total;Italia;Viajero;2025M06;331.563
Total;Italia;Viajero;2025M05;310.548
Total;Italia;Viajero;2025M04;311.880
Total;Italia;Viajero;2025M03;231.032
Total;Italia;Viajero;2025M02;186.904
Total;Italia;Viajero;2025M01;187.906
Total;Italia;Viajero;2024M12;195.361
Total;Italia;Viajero;2024M11;196.093
Total;Italia;Viajero;2024M10;282.888
Total;Italia;Viajero;2024M09;320.475
Total;Italia;Viajero;2024M08;547.898
Total;Italia;Viajero;2024M07;367.301
Total;Italia;Viajero;2024M06;325.633
Total;Italia;Viajero;2024M05;318.920
Total;Italia;Viajero;2024M04;302.203
Total;Italia;Viajero;2024M03;242.774
Total;Italia;Viajero;2024M02;180.397
Total;Italia;Viajero;2024M01;185.269
Total;Italia;Viajero;2023M12;192.995
Total;Italia;Viajero;2023M11;192.385
Total;Italia;Viajero;2023M10;265.751
Total;Italia;Viajero;2023M09;315.872
Total;Italia;Viajero;2023M08;535.344
Total;Italia;Viajero;2023M07;352.978
Total;Italia;Viajero;2023M06;307.839
Total;Italia;Viajero;2023M05;281.024
Total;Italia;Viajero;2023M04;268.582
Total;Italia;Viajero;2023M03;203.945
Total;Italia;Viajero;2023M02;157.089
Total;Italia;Viajero;2023M01;171.322
Total;Italia;Viajero;2022M12;156.910
Total;Italia;Viajero;2022M11;163.395
Total;Italia;Viajero;2022M10;245.017
Total;Italia;Viajero;2022M09;295.884
Total;Italia;Viajero;2022M08;484.390
Total;Italia;Viajero;2022M07;320.514
Total;Italia;Viajero;2022M06;292.664
Total;Italia;Viajero;2022M05;255.672
Total;Italia;Viajero;2022M04;208.141
Total;Italia;Viajero;2022M03;150.285
Total;Italia;Viajero;2022M02;112.736
Total;Italia;Viajero;2022M01;85.866
Total;Italia;Pernoctaciones;2026M03;669.051
Total;Italia;Pernoctaciones;2026M02;556.704
Total;Italia;Pernoctaciones;2026M01;620.249
Total;Italia;Pernoctaciones;2025M12;597.568
Total;Italia;Pernoctaciones;2025M11;563.210
Total;Italia;Pernoctaciones;2025M10;739.448
Total;Italia;Pernoctaciones;2025M09;1.026.250
Total;Italia;Pernoctaciones;2025M08;1.883.100
Total;Italia;Pernoctaciones;2025M07;1.253.956
Total;Italia;Pernoctaciones;2025M06;1.017.720
Total;Italia;Pernoctaciones;2025M05;850.332
Total;Italia;Pernoctaciones;2025M04;835.000
Total;Italia;Pernoctaciones;2025M03;652.237
Total;Italia;Pernoctaciones;2025M02;542.068
Total;Italia;Pernoctaciones;2025M01;591.898
Total;Italia;Pernoctaciones;2024M12;532.534
Total;Italia;Pernoctaciones;2024M11;546.979
Total;Italia;Pernoctaciones;2024M10;756.382
Total;Italia;Pernoctaciones;2024M09;1.033.443
Total;Italia;Pernoctaciones;2024M08;1.976.847
Total;Italia;Pernoctaciones;2024M07;1.292.013
Total;Italia;Pernoctaciones;2024M06;1.006.385
Total;Italia;Pernoctaciones;2024M05;870.893
Total;Italia;Pernoctaciones;2024M04;815.504
Total;Italia;Pernoctaciones;2024M03;689.604
Total;Italia;Pernoctaciones;2024M02;547.433
Total;Italia;Pernoctaciones;2024M01;580.111
Total;Italia;Pernoctaciones;2023M12;533.064
Total;Italia;Pernoctaciones;2023M11;543.701
Total;Italia;Pernoctaciones;2023M10;714.811
Total;Italia;Pernoctaciones;2023M09;1.013.267
Total;Italia;Pernoctaciones;2023M08;1.903.428
Total;Italia;Pernoctaciones;2023M07;1.240.864
Total;Italia;Pernoctaciones;2023M06;966.271
Total;Italia;Pernoctaciones;2023M05;773.655
Total;Italia;Pernoctaciones;2023M04;739.851
Total;Italia;Pernoctaciones;2023M03;575.925
Total;Italia;Pernoctaciones;2023M02;481.940
Total;Italia;Pernoctaciones;2023M01;541.879
Total;Italia;Pernoctaciones;2022M12;443.467
Total;Italia;Pernoctaciones;2022M11;472.097
Total;Italia;Pernoctaciones;2022M10;681.048
Total;Italia;Pernoctaciones;2022M09;971.011
Total;Italia;Pernoctaciones;2022M08;1.773.605
Total;Italia;Pernoctaciones;2022M07;1.159.710
Total;Italia;Pernoctaciones;2022M06;920.470
Total;Italia;Pernoctaciones;2022M05;690.066
Total;Italia;Pernoctaciones;2022M04;593.722
Total;Italia;Pernoctaciones;2022M03;440.198
Total;Italia;Pernoctaciones;2022M02;330.073
Total;Italia;Pernoctaciones;2022M01;290.787
Total;Luxemburgo;Viajero;2026M03;8.619
Total;Luxemburgo;Viajero;2026M02;6.249
Total;Luxemburgo;Viajero;2026M01;4.722
Total;Luxemburgo;Viajero;2025M12;5.382
Total;Luxemburgo;Viajero;2025M11;7.412
Total;Luxemburgo;Viajero;2025M10;8.579
Total;Luxemburgo;Viajero;2025M09;12.461
Total;Luxemburgo;Viajero;2025M08;16.368
Total;Luxemburgo;Viajero;2025M07;9.850
Total;Luxemburgo;Viajero;2025M06;11.410
Total;Luxemburgo;Viajero;2025M05;11.984
Total;Luxemburgo;Viajero;2025M04;12.232
Total;Luxemburgo;Viajero;2025M03;6.441
Total;Luxemburgo;Viajero;2025M02;5.225
Total;Luxemburgo;Viajero;2025M01;4.608
Total;Luxemburgo;Viajero;2024M12;5.524
Total;Luxemburgo;Viajero;2024M11;5.689
Total;Luxemburgo;Viajero;2024M10;8.952
Total;Luxemburgo;Viajero;2024M09;11.936
Total;Luxemburgo;Viajero;2024M08;15.557
Total;Luxemburgo;Viajero;2024M07;9.420
Total;Luxemburgo;Viajero;2024M06;8.911
Total;Luxemburgo;Viajero;2024M05;11.642
Total;Luxemburgo;Viajero;2024M04;11.021
Total;Luxemburgo;Viajero;2024M03;6.342
Total;Luxemburgo;Viajero;2024M02;5.001
Total;Luxemburgo;Viajero;2024M01;3.891
Total;Luxemburgo;Viajero;2023M12;5.196
Total;Luxemburgo;Viajero;2023M11;5.262
Total;Luxemburgo;Viajero;2023M10;9.116
Total;Luxemburgo;Viajero;2023M09;11.309
Total;Luxemburgo;Viajero;2023M08;13.730
Total;Luxemburgo;Viajero;2023M07;10.281
Total;Luxemburgo;Viajero;2023M06;11.154
Total;Luxemburgo;Viajero;2023M05;10.068
Total;Luxemburgo;Viajero;2023M04;9.578
Total;Luxemburgo;Viajero;2023M03;5.282
Total;Luxemburgo;Viajero;2023M02;4.893
Total;Luxemburgo;Viajero;2023M01;4.329
Total;Luxemburgo;Viajero;2022M12;5.050
Total;Luxemburgo;Viajero;2022M11;4.436
Total;Luxemburgo;Viajero;2022M10;8.253
Total;Luxemburgo;Viajero;2022M09;9.899
Total;Luxemburgo;Viajero;2022M08;15.901
Total;Luxemburgo;Viajero;2022M07;9.609
Total;Luxemburgo;Viajero;2022M06;9.182
Total;Luxemburgo;Viajero;2022M05;9.902
Total;Luxemburgo;Viajero;2022M04;9.170
Total;Luxemburgo;Viajero;2022M03;4.242
Total;Luxemburgo;Viajero;2022M02;4.835
Total;Luxemburgo;Viajero;2022M01;2.500
Total;Luxemburgo;Pernoctaciones;2026M03;32.877
Total;Luxemburgo;Pernoctaciones;2026M02;29.278
Total;Luxemburgo;Pernoctaciones;2026M01;24.221
Total;Luxemburgo;Pernoctaciones;2025M12;28.122
Total;Luxemburgo;Pernoctaciones;2025M11;34.871
Total;Luxemburgo;Pernoctaciones;2025M10;39.777
Total;Luxemburgo;Pernoctaciones;2025M09;62.876
Total;Luxemburgo;Pernoctaciones;2025M08;73.831
Total;Luxemburgo;Pernoctaciones;2025M07;43.300
Total;Luxemburgo;Pernoctaciones;2025M06;43.570
Total;Luxemburgo;Pernoctaciones;2025M05;51.918
Total;Luxemburgo;Pernoctaciones;2025M04;52.775
Total;Luxemburgo;Pernoctaciones;2025M03;25.662
Total;Luxemburgo;Pernoctaciones;2025M02;26.636
Total;Luxemburgo;Pernoctaciones;2025M01;23.564
Total;Luxemburgo;Pernoctaciones;2024M12;27.633
Total;Luxemburgo;Pernoctaciones;2024M11;28.405
Total;Luxemburgo;Pernoctaciones;2024M10;41.671
Total;Luxemburgo;Pernoctaciones;2024M09;65.117
Total;Luxemburgo;Pernoctaciones;2024M08;71.971
Total;Luxemburgo;Pernoctaciones;2024M07;41.968
Total;Luxemburgo;Pernoctaciones;2024M06;40.071
Total;Luxemburgo;Pernoctaciones;2024M05;52.960
Total;Luxemburgo;Pernoctaciones;2024M04;51.774
Total;Luxemburgo;Pernoctaciones;2024M03;28.907
Total;Luxemburgo;Pernoctaciones;2024M02;25.070
Total;Luxemburgo;Pernoctaciones;2024M01;24.692
Total;Luxemburgo;Pernoctaciones;2023M12;27.113
Total;Luxemburgo;Pernoctaciones;2023M11;25.420
Total;Luxemburgo;Pernoctaciones;2023M10;41.327
Total;Luxemburgo;Pernoctaciones;2023M09;63.599
Total;Luxemburgo;Pernoctaciones;2023M08;69.858
Total;Luxemburgo;Pernoctaciones;2023M07;46.482
Total;Luxemburgo;Pernoctaciones;2023M06;43.178
Total;Luxemburgo;Pernoctaciones;2023M05;41.755
Total;Luxemburgo;Pernoctaciones;2023M04;43.066
Total;Luxemburgo;Pernoctaciones;2023M03;26.364
Total;Luxemburgo;Pernoctaciones;2023M02;24.972
Total;Luxemburgo;Pernoctaciones;2023M01;25.938
Total;Luxemburgo;Pernoctaciones;2022M12;25.228
Total;Luxemburgo;Pernoctaciones;2022M11;25.820
Total;Luxemburgo;Pernoctaciones;2022M10;36.324
Total;Luxemburgo;Pernoctaciones;2022M09;55.075
Total;Luxemburgo;Pernoctaciones;2022M08;77.771
Total;Luxemburgo;Pernoctaciones;2022M07;43.630
Total;Luxemburgo;Pernoctaciones;2022M06;42.535
Total;Luxemburgo;Pernoctaciones;2022M05;48.182
Total;Luxemburgo;Pernoctaciones;2022M04;43.878
Total;Luxemburgo;Pernoctaciones;2022M03;20.829
Total;Luxemburgo;Pernoctaciones;2022M02;23.022
Total;Luxemburgo;Pernoctaciones;2022M01;15.912
Total;Países Bajos;Viajero;2026M03;147.315
Total;Países Bajos;Viajero;2026M02;124.531
Total;Países Bajos;Viajero;2026M01;124.739
Total;Países Bajos;Viajero;2025M12;111.374
Total;Países Bajos;Viajero;2025M11;127.532
Total;Países Bajos;Viajero;2025M10;239.409
Total;Países Bajos;Viajero;2025M09;290.623
Total;Países Bajos;Viajero;2025M08;325.582
Total;Países Bajos;Viajero;2025M07;344.556
Total;Países Bajos;Viajero;2025M06;251.884
Total;Países Bajos;Viajero;2025M05;277.239
Total;Países Bajos;Viajero;2025M04;217.424
Total;Países Bajos;Viajero;2025M03;153.282
Total;Países Bajos;Viajero;2025M02;127.297
Total;Países Bajos;Viajero;2025M01;117.006
Total;Países Bajos;Viajero;2024M12;103.511
Total;Países Bajos;Viajero;2024M11;126.210
Total;Países Bajos;Viajero;2024M10;244.099
Total;Países Bajos;Viajero;2024M09;288.054
Total;Países Bajos;Viajero;2024M08;334.802
Total;Países Bajos;Viajero;2024M07;340.058
Total;Países Bajos;Viajero;2024M06;263.909
Total;Países Bajos;Viajero;2024M05;294.016
Total;Países Bajos;Viajero;2024M04;218.788
Total;Países Bajos;Viajero;2024M03;137.899
Total;Países Bajos;Viajero;2024M02;127.067
Total;Países Bajos;Viajero;2024M01;116.770
Total;Países Bajos;Viajero;2023M12;96.042
Total;Países Bajos;Viajero;2023M11;115.945
Total;Países Bajos;Viajero;2023M10;232.544
Total;Países Bajos;Viajero;2023M09;276.962
Total;Países Bajos;Viajero;2023M08;331.299
Total;Países Bajos;Viajero;2023M07;309.905
Total;Países Bajos;Viajero;2023M06;247.274
Total;Países Bajos;Viajero;2023M05;246.257
Total;Países Bajos;Viajero;2023M04;217.441
Total;Países Bajos;Viajero;2023M03;130.150
Total;Países Bajos;Viajero;2023M02;104.754
Total;Países Bajos;Viajero;2023M01;104.460
Total;Países Bajos;Viajero;2022M12;84.441
Total;Países Bajos;Viajero;2022M11;106.833
Total;Países Bajos;Viajero;2022M10;211.127
Total;Países Bajos;Viajero;2022M09;256.111
Total;Países Bajos;Viajero;2022M08;326.268
Total;Países Bajos;Viajero;2022M07;307.323
Total;Países Bajos;Viajero;2022M06;228.625
Total;Países Bajos;Viajero;2022M05;267.278
Total;Países Bajos;Viajero;2022M04;200.240
Total;Países Bajos;Viajero;2022M03;128.193
Total;Países Bajos;Viajero;2022M02;103.254
Total;Países Bajos;Viajero;2022M01;98.157
Total;Países Bajos;Pernoctaciones;2026M03;553.722
Total;Países Bajos;Pernoctaciones;2026M02;519.045
Total;Países Bajos;Pernoctaciones;2026M01;489.901
Total;Países Bajos;Pernoctaciones;2025M12;456.765
Total;Países Bajos;Pernoctaciones;2025M11;488.192
Total;Países Bajos;Pernoctaciones;2025M10;1.048.978
Total;Países Bajos;Pernoctaciones;2025M09;1.302.868
Total;Países Bajos;Pernoctaciones;2025M08;1.530.073
Total;Países Bajos;Pernoctaciones;2025M07;1.485.490
Total;Países Bajos;Pernoctaciones;2025M06;1.147.323
Total;Países Bajos;Pernoctaciones;2025M05;1.118.001
Total;Países Bajos;Pernoctaciones;2025M04;808.871
Total;Países Bajos;Pernoctaciones;2025M03;599.314
Total;Países Bajos;Pernoctaciones;2025M02;531.825
Total;Países Bajos;Pernoctaciones;2025M01;477.359
Total;Países Bajos;Pernoctaciones;2024M12;424.135
Total;Países Bajos;Pernoctaciones;2024M11;509.889
Total;Países Bajos;Pernoctaciones;2024M10;1.073.474
Total;Países Bajos;Pernoctaciones;2024M09;1.322.227
Total;Países Bajos;Pernoctaciones;2024M08;1.595.899
Total;Países Bajos;Pernoctaciones;2024M07;1.531.236
Total;Países Bajos;Pernoctaciones;2024M06;1.192.836
Total;Países Bajos;Pernoctaciones;2024M05;1.317.658
Total;Países Bajos;Pernoctaciones;2024M04;800.419
Total;Países Bajos;Pernoctaciones;2024M03;548.953
Total;Países Bajos;Pernoctaciones;2024M02;535.759
Total;Países Bajos;Pernoctaciones;2024M01;490.405
Total;Países Bajos;Pernoctaciones;2023M12;398.031
Total;Países Bajos;Pernoctaciones;2023M11;453.594
Total;Países Bajos;Pernoctaciones;2023M10;1.013.787
Total;Países Bajos;Pernoctaciones;2023M09;1.266.504
Total;Países Bajos;Pernoctaciones;2023M08;1.620.348
Total;Países Bajos;Pernoctaciones;2023M07;1.329.781
Total;Países Bajos;Pernoctaciones;2023M06;1.055.908
Total;Países Bajos;Pernoctaciones;2023M05;1.041.196
Total;Países Bajos;Pernoctaciones;2023M04;829.492
Total;Países Bajos;Pernoctaciones;2023M03;502.268
Total;Países Bajos;Pernoctaciones;2023M02;424.906
Total;Países Bajos;Pernoctaciones;2023M01;432.709
Total;Países Bajos;Pernoctaciones;2022M12;355.202
Total;Países Bajos;Pernoctaciones;2022M11;414.227
Total;Países Bajos;Pernoctaciones;2022M10;886.386
Total;Países Bajos;Pernoctaciones;2022M09;1.124.274
Total;Países Bajos;Pernoctaciones;2022M08;1.571.343
Total;Países Bajos;Pernoctaciones;2022M07;1.334.873
Total;Países Bajos;Pernoctaciones;2022M06;1.010.520
Total;Países Bajos;Pernoctaciones;2022M05;1.164.861
Total;Países Bajos;Pernoctaciones;2022M04;760.745
Total;Países Bajos;Pernoctaciones;2022M03;541.843
Total;Países Bajos;Pernoctaciones;2022M02;409.270
Total;Países Bajos;Pernoctaciones;2022M01;415.754
Total;Polonia;Viajero;2026M03;103.667
Total;Polonia;Viajero;2026M02;106.882
Total;Polonia;Viajero;2026M01;88.326
Total;Polonia;Viajero;2025M12;75.836
Total;Polonia;Viajero;2025M11;84.738
Total;Polonia;Viajero;2025M10;129.370
Total;Polonia;Viajero;2025M09;174.679
Total;Polonia;Viajero;2025M08;181.536
Total;Polonia;Viajero;2025M07;194.866
Total;Polonia;Viajero;2025M06;177.798
Total;Polonia;Viajero;2025M05;151.956
Total;Polonia;Viajero;2025M04;110.803
Total;Polonia;Viajero;2025M03;97.128
Total;Polonia;Viajero;2025M02;94.353
Total;Polonia;Viajero;2025M01;71.380
Total;Polonia;Viajero;2024M12;59.297
Total;Polonia;Viajero;2024M11;74.431
Total;Polonia;Viajero;2024M10;124.390
Total;Polonia;Viajero;2024M09;161.560
Total;Polonia;Viajero;2024M08;157.683
Total;Polonia;Viajero;2024M07;157.004
Total;Polonia;Viajero;2024M06;153.981
Total;Polonia;Viajero;2024M05;147.440
Total;Polonia;Viajero;2024M04;112.932
Total;Polonia;Viajero;2024M03;84.928
Total;Polonia;Viajero;2024M02;77.999
Total;Polonia;Viajero;2024M01;76.597
Total;Polonia;Viajero;2023M12;56.322
Total;Polonia;Viajero;2023M11;70.702
Total;Polonia;Viajero;2023M10;112.801
Total;Polonia;Viajero;2023M09;143.550
Total;Polonia;Viajero;2023M08;131.818
Total;Polonia;Viajero;2023M07;146.803
Total;Polonia;Viajero;2023M06;130.829
Total;Polonia;Viajero;2023M05;115.088
Total;Polonia;Viajero;2023M04;94.301
Total;Polonia;Viajero;2023M03;62.908
Total;Polonia;Viajero;2023M02;60.585
Total;Polonia;Viajero;2023M01;54.889
Total;Polonia;Viajero;2022M12;42.348
Total;Polonia;Viajero;2022M11;48.748
Total;Polonia;Viajero;2022M10;94.042
Total;Polonia;Viajero;2022M09;114.825
Total;Polonia;Viajero;2022M08;109.881
Total;Polonia;Viajero;2022M07;121.357
Total;Polonia;Viajero;2022M06;112.585
Total;Polonia;Viajero;2022M05;89.592
Total;Polonia;Viajero;2022M04;63.343
Total;Polonia;Viajero;2022M03;44.952
Total;Polonia;Viajero;2022M02;48.072
Total;Polonia;Viajero;2022M01;35.008
Total;Polonia;Pernoctaciones;2026M03;397.347
Total;Polonia;Pernoctaciones;2026M02;470.530
Total;Polonia;Pernoctaciones;2026M01;398.676
Total;Polonia;Pernoctaciones;2025M12;319.562
Total;Polonia;Pernoctaciones;2025M11;321.093
Total;Polonia;Pernoctaciones;2025M10;589.380
Total;Polonia;Pernoctaciones;2025M09;886.642
Total;Polonia;Pernoctaciones;2025M08;1.010.576
Total;Polonia;Pernoctaciones;2025M07;1.131.054
Total;Polonia;Pernoctaciones;2025M06;870.499
Total;Polonia;Pernoctaciones;2025M05;696.015
Total;Polonia;Pernoctaciones;2025M04;437.685
Total;Polonia;Pernoctaciones;2025M03;386.222
Total;Polonia;Pernoctaciones;2025M02;420.905
Total;Polonia;Pernoctaciones;2025M01;330.420
Total;Polonia;Pernoctaciones;2024M12;253.198
Total;Polonia;Pernoctaciones;2024M11;280.421
Total;Polonia;Pernoctaciones;2024M10;519.815
Total;Polonia;Pernoctaciones;2024M09;806.570
Total;Polonia;Pernoctaciones;2024M08;854.384
Total;Polonia;Pernoctaciones;2024M07;867.696
Total;Polonia;Pernoctaciones;2024M06;817.385
Total;Polonia;Pernoctaciones;2024M05;635.901
Total;Polonia;Pernoctaciones;2024M04;415.012
Total;Polonia;Pernoctaciones;2024M03;337.971
Total;Polonia;Pernoctaciones;2024M02;345.291
Total;Polonia;Pernoctaciones;2024M01;324.211
Total;Polonia;Pernoctaciones;2023M12;236.583
Total;Polonia;Pernoctaciones;2023M11;271.071
Total;Polonia;Pernoctaciones;2023M10;498.379
Total;Polonia;Pernoctaciones;2023M09;718.880
Total;Polonia;Pernoctaciones;2023M08;704.398
Total;Polonia;Pernoctaciones;2023M07;782.672
Total;Polonia;Pernoctaciones;2023M06;637.338
Total;Polonia;Pernoctaciones;2023M05;506.833
Total;Polonia;Pernoctaciones;2023M04;353.756
Total;Polonia;Pernoctaciones;2023M03;254.447
Total;Polonia;Pernoctaciones;2023M02;269.603
Total;Polonia;Pernoctaciones;2023M01;239.561
Total;Polonia;Pernoctaciones;2022M12;187.748
Total;Polonia;Pernoctaciones;2022M11;188.236
Total;Polonia;Pernoctaciones;2022M10;398.298
Total;Polonia;Pernoctaciones;2022M09;567.143
Total;Polonia;Pernoctaciones;2022M08;599.393
Total;Polonia;Pernoctaciones;2022M07;678.750
Total;Polonia;Pernoctaciones;2022M06;543.537
Total;Polonia;Pernoctaciones;2022M05;397.558
Total;Polonia;Pernoctaciones;2022M04;254.084
Total;Polonia;Pernoctaciones;2022M03;199.521
Total;Polonia;Pernoctaciones;2022M02;228.944
Total;Polonia;Pernoctaciones;2022M01;180.713
Total;Portugal;Viajero;2026M03;125.154
Total;Portugal;Viajero;2026M02;107.824
Total;Portugal;Viajero;2026M01;99.945
Total;Portugal;Viajero;2025M12;140.579
Total;Portugal;Viajero;2025M11;118.891
Total;Portugal;Viajero;2025M10;148.492
Total;Portugal;Viajero;2025M09;240.370
Total;Portugal;Viajero;2025M08;409.827
Total;Portugal;Viajero;2025M07;263.088
Total;Portugal;Viajero;2025M06;255.318
Total;Portugal;Viajero;2025M05;161.139
Total;Portugal;Viajero;2025M04;206.060
Total;Portugal;Viajero;2025M03;127.509
Total;Portugal;Viajero;2025M02;92.085
Total;Portugal;Viajero;2025M01;92.767
Total;Portugal;Viajero;2024M12;128.922
Total;Portugal;Viajero;2024M11;108.576
Total;Portugal;Viajero;2024M10;149.707
Total;Portugal;Viajero;2024M09;233.122
Total;Portugal;Viajero;2024M08;387.598
Total;Portugal;Viajero;2024M07;254.474
Total;Portugal;Viajero;2024M06;228.972
Total;Portugal;Viajero;2024M05;163.039
Total;Portugal;Viajero;2024M04;177.491
Total;Portugal;Viajero;2024M03;122.916
Total;Portugal;Viajero;2024M02;109.612
Total;Portugal;Viajero;2024M01;87.823
Total;Portugal;Viajero;2023M12;137.950
Total;Portugal;Viajero;2023M11;98.114
Total;Portugal;Viajero;2023M10;146.895
Total;Portugal;Viajero;2023M09;227.742
Total;Portugal;Viajero;2023M08;357.426
Total;Portugal;Viajero;2023M07;238.855
Total;Portugal;Viajero;2023M06;198.834
Total;Portugal;Viajero;2023M05;137.771
Total;Portugal;Viajero;2023M04;194.126
Total;Portugal;Viajero;2023M03;99.783
Total;Portugal;Viajero;2023M02;109.844
Total;Portugal;Viajero;2023M01;82.766
Total;Portugal;Viajero;2022M12;111.951
Total;Portugal;Viajero;2022M11;85.628
Total;Portugal;Viajero;2022M10;134.860
Total;Portugal;Viajero;2022M09;205.600
Total;Portugal;Viajero;2022M08;316.463
Total;Portugal;Viajero;2022M07;208.687
Total;Portugal;Viajero;2022M06;199.570
Total;Portugal;Viajero;2022M05;120.365
Total;Portugal;Viajero;2022M04;157.339
Total;Portugal;Viajero;2022M03;79.235
Total;Portugal;Viajero;2022M02;80.563
Total;Portugal;Viajero;2022M01;44.865
Total;Portugal;Pernoctaciones;2026M03;252.087
Total;Portugal;Pernoctaciones;2026M02;214.013
Total;Portugal;Pernoctaciones;2026M01;207.830
Total;Portugal;Pernoctaciones;2025M12;254.422
Total;Portugal;Pernoctaciones;2025M11;225.321
Total;Portugal;Pernoctaciones;2025M10;346.898
Total;Portugal;Pernoctaciones;2025M09;838.285
Total;Portugal;Pernoctaciones;2025M08;1.437.614
Total;Portugal;Pernoctaciones;2025M07;913.323
Total;Portugal;Pernoctaciones;2025M06;746.877
Total;Portugal;Pernoctaciones;2025M05;371.202
Total;Portugal;Pernoctaciones;2025M04;479.405
Total;Portugal;Pernoctaciones;2025M03;260.011
Total;Portugal;Pernoctaciones;2025M02;178.762
Total;Portugal;Pernoctaciones;2025M01;190.428
Total;Portugal;Pernoctaciones;2024M12;231.359
Total;Portugal;Pernoctaciones;2024M11;217.299
Total;Portugal;Pernoctaciones;2024M10;352.814
Total;Portugal;Pernoctaciones;2024M09;791.923
Total;Portugal;Pernoctaciones;2024M08;1.340.439
Total;Portugal;Pernoctaciones;2024M07;857.672
Total;Portugal;Pernoctaciones;2024M06;673.196
Total;Portugal;Pernoctaciones;2024M05;368.470
Total;Portugal;Pernoctaciones;2024M04;414.060
Total;Portugal;Pernoctaciones;2024M03;252.192
Total;Portugal;Pernoctaciones;2024M02;225.585
Total;Portugal;Pernoctaciones;2024M01;173.563
Total;Portugal;Pernoctaciones;2023M12;253.428
Total;Portugal;Pernoctaciones;2023M11;193.958
Total;Portugal;Pernoctaciones;2023M10;344.079
Total;Portugal;Pernoctaciones;2023M09;777.119
Total;Portugal;Pernoctaciones;2023M08;1.227.651
Total;Portugal;Pernoctaciones;2023M07;775.471
Total;Portugal;Pernoctaciones;2023M06;570.429
Total;Portugal;Pernoctaciones;2023M05;326.122
Total;Portugal;Pernoctaciones;2023M04;462.595
Total;Portugal;Pernoctaciones;2023M03;208.726
Total;Portugal;Pernoctaciones;2023M02;229.762
Total;Portugal;Pernoctaciones;2023M01;163.786
Total;Portugal;Pernoctaciones;2022M12;213.573
Total;Portugal;Pernoctaciones;2022M11;176.193
Total;Portugal;Pernoctaciones;2022M10;305.894
Total;Portugal;Pernoctaciones;2022M09;677.034
Total;Portugal;Pernoctaciones;2022M08;1.047.020
Total;Portugal;Pernoctaciones;2022M07;621.349
Total;Portugal;Pernoctaciones;2022M06;563.887
Total;Portugal;Pernoctaciones;2022M05;272.413
Total;Portugal;Pernoctaciones;2022M04;357.552
Total;Portugal;Pernoctaciones;2022M03;173.611
Total;Portugal;Pernoctaciones;2022M02;167.185
Total;Portugal;Pernoctaciones;2022M01;92.711
Total;República Checa;Viajero;2026M03;26.917
Total;República Checa;Viajero;2026M02;20.088
Total;República Checa;Viajero;2026M01;14.515
Total;República Checa;Viajero;2025M12;18.088
Total;República Checa;Viajero;2025M11;22.976
Total;República Checa;Viajero;2025M10;43.442
Total;República Checa;Viajero;2025M09;55.241
Total;República Checa;Viajero;2025M08;50.124
Total;República Checa;Viajero;2025M07;55.286
Total;República Checa;Viajero;2025M06;52.798
Total;República Checa;Viajero;2025M05;43.278
Total;República Checa;Viajero;2025M04;27.743
Total;República Checa;Viajero;2025M03;25.560
Total;República Checa;Viajero;2025M02;19.908
Total;República Checa;Viajero;2025M01;14.183
Total;República Checa;Viajero;2024M12;13.713
Total;República Checa;Viajero;2024M11;19.004
Total;República Checa;Viajero;2024M10;39.506
Total;República Checa;Viajero;2024M09;50.572
Total;República Checa;Viajero;2024M08;44.805
Total;República Checa;Viajero;2024M07;50.290
Total;República Checa;Viajero;2024M06;48.729
Total;República Checa;Viajero;2024M05;37.660
Total;República Checa;Viajero;2024M04;31.040
Total;República Checa;Viajero;2024M03;24.630
Total;República Checa;Viajero;2024M02;20.461
