Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M11;1.932.711
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M10;2.242.371
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M09;2.066.264
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M08;1.701.671
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M07;1.922.656
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M06;2.029.532
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M05;2.052.491
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M04;2.004.575
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M03;1.720.481
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M02;1.435.535
Total Nacional;13 Madrid, Comunidad de;;Pernoctaciones;Total;;2022M01;1.193.236
