Provincias;País de residencia;Meses;Total
03 Alicante/Alacant;Dinamarca;Noviembre;718
03 Alicante/Alacant;Dinamarca;Diciembre;503
03 Alicante/Alacant;Finlandia;Total;4.187
03 Alicante/Alacant;Finlandia;Enero;72
03 Alicante/Alacant;Finlandia;Febrero;14
03 Alicante/Alacant;Finlandia;Marzo;32
03 Alicante/Alacant;Finlandia;Abril;84
03 Alicante/Alacant;Finlandia;Mayo;71
03 Alicante/Alacant;Finlandia;Junio;138
03 Alicante/Alacant;Finlandia;Julio;420
03 Alicante/Alacant;Finlandia;Agosto;360
03 Alicante/Alacant;Finlandia;Septiembre;785
03 Alicante/Alacant;Finlandia;Octubre;854
03 Alicante/Alacant;Finlandia;Noviembre;945
03 Alicante/Alacant;Finlandia;Diciembre;411
03 Alicante/Alacant;Francia;Total;81.782
03 Alicante/Alacant;Francia;Enero;1.408
03 Alicante/Alacant;Francia;Febrero;542
03 Alicante/Alacant;Francia;Marzo;1.402
03 Alicante/Alacant;Francia;Abril;1.508
03 Alicante/Alacant;Francia;Mayo;4.138
03 Alicante/Alacant;Francia;Junio;5.805
03 Alicante/Alacant;Francia;Julio;10.687
03 Alicante/Alacant;Francia;Agosto;22.847
03 Alicante/Alacant;Francia;Septiembre;10.410
03 Alicante/Alacant;Francia;Octubre;10.906
03 Alicante/Alacant;Francia;Noviembre;6.539
03 Alicante/Alacant;Francia;Diciembre;5.589
03 Alicante/Alacant;Grecia;Total;617
03 Alicante/Alacant;Grecia;Enero;12
03 Alicante/Alacant;Grecia;Febrero;..
03 Alicante/Alacant;Grecia;Marzo;..
03 Alicante/Alacant;Grecia;Abril;10
03 Alicante/Alacant;Grecia;Mayo;13
03 Alicante/Alacant;Grecia;Junio;49
03 Alicante/Alacant;Grecia;Julio;68
03 Alicante/Alacant;Grecia;Agosto;125
03 Alicante/Alacant;Grecia;Septiembre;75
03 Alicante/Alacant;Grecia;Octubre;70
03 Alicante/Alacant;Grecia;Noviembre;112
03 Alicante/Alacant;Grecia;Diciembre;69
03 Alicante/Alacant;Irlanda;Total;18.626
03 Alicante/Alacant;Irlanda;Enero;221
03 Alicante/Alacant;Irlanda;Febrero;79
03 Alicante/Alacant;Irlanda;Marzo;332
03 Alicante/Alacant;Irlanda;Abril;147
03 Alicante/Alacant;Irlanda;Mayo;295
03 Alicante/Alacant;Irlanda;Junio;966
03 Alicante/Alacant;Irlanda;Julio;1.504
03 Alicante/Alacant;Irlanda;Agosto;3.062
03 Alicante/Alacant;Irlanda;Septiembre;3.970
03 Alicante/Alacant;Irlanda;Octubre;4.506
03 Alicante/Alacant;Irlanda;Noviembre;2.195
03 Alicante/Alacant;Irlanda;Diciembre;1.351
03 Alicante/Alacant;Italia;Total;26.901
03 Alicante/Alacant;Italia;Enero;471
03 Alicante/Alacant;Italia;Febrero;301
03 Alicante/Alacant;Italia;Marzo;479
03 Alicante/Alacant;Italia;Abril;955
03 Alicante/Alacant;Italia;Mayo;1.184
03 Alicante/Alacant;Italia;Junio;2.093
03 Alicante/Alacant;Italia;Julio;3.245
03 Alicante/Alacant;Italia;Agosto;5.697
03 Alicante/Alacant;Italia;Septiembre;3.362
03 Alicante/Alacant;Italia;Octubre;3.830
03 Alicante/Alacant;Italia;Noviembre;3.207
03 Alicante/Alacant;Italia;Diciembre;2.076
03 Alicante/Alacant;Luxemburgo;Total;673
03 Alicante/Alacant;Luxemburgo;Enero;..
03 Alicante/Alacant;Luxemburgo;Febrero;..
03 Alicante/Alacant;Luxemburgo;Marzo;16
03 Alicante/Alacant;Luxemburgo;Abril;41
03 Alicante/Alacant;Luxemburgo;Mayo;13
03 Alicante/Alacant;Luxemburgo;Junio;57
03 Alicante/Alacant;Luxemburgo;Julio;39
03 Alicante/Alacant;Luxemburgo;Agosto;179
03 Alicante/Alacant;Luxemburgo;Septiembre;68
03 Alicante/Alacant;Luxemburgo;Octubre;69
03 Alicante/Alacant;Luxemburgo;Noviembre;98
03 Alicante/Alacant;Luxemburgo;Diciembre;82
03 Alicante/Alacant;Países Bajos;Total;56.468
03 Alicante/Alacant;Países Bajos;Enero;487
03 Alicante/Alacant;Países Bajos;Febrero;289
03 Alicante/Alacant;Países Bajos;Marzo;576
03 Alicante/Alacant;Países Bajos;Abril;870
03 Alicante/Alacant;Países Bajos;Mayo;2.217
03 Alicante/Alacant;Países Bajos;Junio;2.913
03 Alicante/Alacant;Países Bajos;Julio;5.769
03 Alicante/Alacant;Países Bajos;Agosto;9.978
03 Alicante/Alacant;Países Bajos;Septiembre;9.836
03 Alicante/Alacant;Países Bajos;Octubre;11.931
03 Alicante/Alacant;Países Bajos;Noviembre;6.140
03 Alicante/Alacant;Países Bajos;Diciembre;5.461
03 Alicante/Alacant;Polonia;Total;16.516
03 Alicante/Alacant;Polonia;Enero;203
03 Alicante/Alacant;Polonia;Febrero;111
03 Alicante/Alacant;Polonia;Marzo;165
03 Alicante/Alacant;Polonia;Abril;406
03 Alicante/Alacant;Polonia;Mayo;880
03 Alicante/Alacant;Polonia;Junio;1.901
03 Alicante/Alacant;Polonia;Julio;2.160
03 Alicante/Alacant;Polonia;Agosto;2.303
03 Alicante/Alacant;Polonia;Septiembre;2.376
03 Alicante/Alacant;Polonia;Octubre;2.276
03 Alicante/Alacant;Polonia;Noviembre;2.266
03 Alicante/Alacant;Polonia;Diciembre;1.471
03 Alicante/Alacant;Portugal;Total;24.853
03 Alicante/Alacant;Portugal;Enero;163
03 Alicante/Alacant;Portugal;Febrero;131
03 Alicante/Alacant;Portugal;Marzo;420
03 Alicante/Alacant;Portugal;Abril;454
03 Alicante/Alacant;Portugal;Mayo;652
03 Alicante/Alacant;Portugal;Junio;1.408
03 Alicante/Alacant;Portugal;Julio;4.054
03 Alicante/Alacant;Portugal;Agosto;9.564
03 Alicante/Alacant;Portugal;Septiembre;4.213
03 Alicante/Alacant;Portugal;Octubre;2.196
03 Alicante/Alacant;Portugal;Noviembre;882
03 Alicante/Alacant;Portugal;Diciembre;717
03 Alicante/Alacant;República Checa;Total;3.783
03 Alicante/Alacant;República Checa;Enero;..
03 Alicante/Alacant;República Checa;Febrero;..
03 Alicante/Alacant;República Checa;Marzo;37
03 Alicante/Alacant;República Checa;Abril;34
03 Alicante/Alacant;República Checa;Mayo;142
03 Alicante/Alacant;República Checa;Junio;474
03 Alicante/Alacant;República Checa;Julio;906
03 Alicante/Alacant;República Checa;Agosto;447
03 Alicante/Alacant;República Checa;Septiembre;566
03 Alicante/Alacant;República Checa;Octubre;364
03 Alicante/Alacant;República Checa;Noviembre;694
03 Alicante/Alacant;República Checa;Diciembre;97
03 Alicante/Alacant;Suecia;Total;19.568
03 Alicante/Alacant;Suecia;Enero;171
03 Alicante/Alacant;Suecia;Febrero;94
03 Alicante/Alacant;Suecia;Marzo;160
03 Alicante/Alacant;Suecia;Abril;429
03 Alicante/Alacant;Suecia;Mayo;685
03 Alicante/Alacant;Suecia;Junio;1.454
03 Alicante/Alacant;Suecia;Julio;3.562
03 Alicante/Alacant;Suecia;Agosto;2.835
03 Alicante/Alacant;Suecia;Septiembre;3.161
03 Alicante/Alacant;Suecia;Octubre;3.494
