Provincias;País de residencia;Meses;Total
02 Albacete;Países Africanos;Enero;..
02 Albacete;Países Africanos;Febrero;..
02 Albacete;Países Africanos;Marzo;..
02 Albacete;Países Africanos;Abril;..
02 Albacete;Países Africanos;Mayo;..
02 Albacete;Países Africanos;Junio;..
02 Albacete;Países Africanos;Julio;..
02 Albacete;Países Africanos;Agosto;..
02 Albacete;Países Africanos;Septiembre;..
02 Albacete;Países Africanos;Octubre;..
02 Albacete;Países Africanos;Noviembre;..
02 Albacete;Países Africanos;Diciembre;..
02 Albacete;Resto del mundo;Total;..
02 Albacete;Resto del mundo;Enero;..
02 Albacete;Resto del mundo;Febrero;..
02 Albacete;Resto del mundo;Marzo;..
02 Albacete;Resto del mundo;Abril;..
02 Albacete;Resto del mundo;Mayo;..
02 Albacete;Resto del mundo;Junio;..
02 Albacete;Resto del mundo;Julio;..
02 Albacete;Resto del mundo;Agosto;..
02 Albacete;Resto del mundo;Septiembre;..
02 Albacete;Resto del mundo;Octubre;..
02 Albacete;Resto del mundo;Noviembre;..
02 Albacete;Resto del mundo;Diciembre;..
03 Alicante/Alacant;Total;Total;739.116
03 Alicante/Alacant;Total;Enero;5.371
03 Alicante/Alacant;Total;Febrero;3.663
03 Alicante/Alacant;Total;Marzo;9.306
03 Alicante/Alacant;Total;Abril;20.485
03 Alicante/Alacant;Total;Mayo;36.531
03 Alicante/Alacant;Total;Junio;78.059
03 Alicante/Alacant;Total;Julio;161.022
03 Alicante/Alacant;Total;Agosto;185.676
03 Alicante/Alacant;Total;Septiembre;87.768
03 Alicante/Alacant;Total;Octubre;68.526
03 Alicante/Alacant;Total;Noviembre;37.031
03 Alicante/Alacant;Total;Diciembre;45.679
03 Alicante/Alacant;Españoles;Total;469.197
03 Alicante/Alacant;Españoles;Enero;3.293
03 Alicante/Alacant;Españoles;Febrero;2.767
03 Alicante/Alacant;Españoles;Marzo;7.696
03 Alicante/Alacant;Españoles;Abril;15.682
03 Alicante/Alacant;Españoles;Mayo;24.563
03 Alicante/Alacant;Españoles;Junio;58.759
03 Alicante/Alacant;Españoles;Julio;116.064
03 Alicante/Alacant;Españoles;Agosto;130.156
03 Alicante/Alacant;Españoles;Septiembre;47.551
03 Alicante/Alacant;Españoles;Octubre;23.474
03 Alicante/Alacant;Españoles;Noviembre;12.614
03 Alicante/Alacant;Españoles;Diciembre;26.578
03 Alicante/Alacant;Extranjeros;Total;269.919
03 Alicante/Alacant;Extranjeros;Enero;2.078
03 Alicante/Alacant;Extranjeros;Febrero;896
03 Alicante/Alacant;Extranjeros;Marzo;1.610
03 Alicante/Alacant;Extranjeros;Abril;4.803
03 Alicante/Alacant;Extranjeros;Mayo;11.968
03 Alicante/Alacant;Extranjeros;Junio;19.300
03 Alicante/Alacant;Extranjeros;Julio;44.959
03 Alicante/Alacant;Extranjeros;Agosto;55.520
03 Alicante/Alacant;Extranjeros;Septiembre;40.217
03 Alicante/Alacant;Extranjeros;Octubre;45.051
03 Alicante/Alacant;Extranjeros;Noviembre;24.416
03 Alicante/Alacant;Extranjeros;Diciembre;19.100
03 Alicante/Alacant;Unión Europea27 (sin España);Total;164.680
03 Alicante/Alacant;Unión Europea27 (sin España);Enero;1.480
03 Alicante/Alacant;Unión Europea27 (sin España);Febrero;500
03 Alicante/Alacant;Unión Europea27 (sin España);Marzo;883
03 Alicante/Alacant;Unión Europea27 (sin España);Abril;3.622
03 Alicante/Alacant;Unión Europea27 (sin España);Mayo;7.524
03 Alicante/Alacant;Unión Europea27 (sin España);Junio;12.432
03 Alicante/Alacant;Unión Europea27 (sin España);Julio;34.246
03 Alicante/Alacant;Unión Europea27 (sin España);Agosto;40.438
03 Alicante/Alacant;Unión Europea27 (sin España);Septiembre;21.548
03 Alicante/Alacant;Unión Europea27 (sin España);Octubre;21.324
03 Alicante/Alacant;Unión Europea27 (sin España);Noviembre;10.552
03 Alicante/Alacant;Unión Europea27 (sin España);Diciembre;10.131
03 Alicante/Alacant;Alemania;Total;16.911
03 Alicante/Alacant;Alemania;Enero;281
03 Alicante/Alacant;Alemania;Febrero;46
03 Alicante/Alacant;Alemania;Marzo;150
03 Alicante/Alacant;Alemania;Abril;348
03 Alicante/Alacant;Alemania;Mayo;1.175
03 Alicante/Alacant;Alemania;Junio;1.603
03 Alicante/Alacant;Alemania;Julio;2.768
03 Alicante/Alacant;Alemania;Agosto;2.224
03 Alicante/Alacant;Alemania;Septiembre;3.398
03 Alicante/Alacant;Alemania;Octubre;2.827
03 Alicante/Alacant;Alemania;Noviembre;867
03 Alicante/Alacant;Alemania;Diciembre;1.225
03 Alicante/Alacant;Austria;Total;704
03 Alicante/Alacant;Austria;Enero;..
03 Alicante/Alacant;Austria;Febrero;..
03 Alicante/Alacant;Austria;Marzo;..
03 Alicante/Alacant;Austria;Abril;..
03 Alicante/Alacant;Austria;Mayo;74
03 Alicante/Alacant;Austria;Junio;143
03 Alicante/Alacant;Austria;Julio;230
03 Alicante/Alacant;Austria;Agosto;64
03 Alicante/Alacant;Austria;Septiembre;42
03 Alicante/Alacant;Austria;Octubre;74
03 Alicante/Alacant;Austria;Noviembre;59
03 Alicante/Alacant;Austria;Diciembre;10
03 Alicante/Alacant;Bélgica;Total;17.316
03 Alicante/Alacant;Bélgica;Enero;369
