Provincias;Residencia;Meses;Total
39 Cantabria;Residentes en España;Diciembre;1,84
39 Cantabria;No residentes en España;Total;2,45
39 Cantabria;No residentes en España;Enero;2,41
39 Cantabria;No residentes en España;Febrero;2,35
39 Cantabria;No residentes en España;Marzo;2,23
39 Cantabria;No residentes en España;Abril;2,69
39 Cantabria;No residentes en España;Mayo;1,99
39 Cantabria;No residentes en España;Junio;2,00
39 Cantabria;No residentes en España;Julio;2,41
39 Cantabria;No residentes en España;Agosto;2,41
39 Cantabria;No residentes en España;Septiembre;2,26
39 Cantabria;No residentes en España;Octubre;2,63
39 Cantabria;No residentes en España;Noviembre;3,45
39 Cantabria;No residentes en España;Diciembre;2,67
12 Castellón/Castelló;Total;Total;2,84
12 Castellón/Castelló;Total;Enero;1,85
12 Castellón/Castelló;Total;Febrero;1,88
12 Castellón/Castelló;Total;Marzo;1,87
12 Castellón/Castelló;Total;Abril;1,86
12 Castellón/Castelló;Total;Mayo;1,89
12 Castellón/Castelló;Total;Junio;2,74
12 Castellón/Castelló;Total;Julio;3,31
12 Castellón/Castelló;Total;Agosto;3,59
12 Castellón/Castelló;Total;Septiembre;3,26
12 Castellón/Castelló;Total;Octubre;2,44
12 Castellón/Castelló;Total;Noviembre;1,83
12 Castellón/Castelló;Total;Diciembre;2,10
12 Castellón/Castelló;Residentes en España;Total;2,86
12 Castellón/Castelló;Residentes en España;Enero;1,73
12 Castellón/Castelló;Residentes en España;Febrero;1,68
12 Castellón/Castelló;Residentes en España;Marzo;1,74
12 Castellón/Castelló;Residentes en España;Abril;1,81
12 Castellón/Castelló;Residentes en España;Mayo;1,83
12 Castellón/Castelló;Residentes en España;Junio;2,76
12 Castellón/Castelló;Residentes en España;Julio;3,37
12 Castellón/Castelló;Residentes en España;Agosto;3,66
12 Castellón/Castelló;Residentes en España;Septiembre;3,29
12 Castellón/Castelló;Residentes en España;Octubre;2,38
12 Castellón/Castelló;Residentes en España;Noviembre;1,79
12 Castellón/Castelló;Residentes en España;Diciembre;1,95
12 Castellón/Castelló;No residentes en España;Total;2,68
12 Castellón/Castelló;No residentes en España;Enero;2,35
12 Castellón/Castelló;No residentes en España;Febrero;3,11
12 Castellón/Castelló;No residentes en España;Marzo;2,77
12 Castellón/Castelló;No residentes en España;Abril;2,30
12 Castellón/Castelló;No residentes en España;Mayo;2,34
12 Castellón/Castelló;No residentes en España;Junio;2,49
12 Castellón/Castelló;No residentes en España;Julio;2,71
12 Castellón/Castelló;No residentes en España;Agosto;2,93
12 Castellón/Castelló;No residentes en España;Septiembre;3,02
12 Castellón/Castelló;No residentes en España;Octubre;2,71
12 Castellón/Castelló;No residentes en España;Noviembre;2,03
12 Castellón/Castelló;No residentes en España;Diciembre;2,78
13 Ciudad Real;Total;Total;1,66
13 Ciudad Real;Total;Enero;1,83
13 Ciudad Real;Total;Febrero;1,77
13 Ciudad Real;Total;Marzo;1,63
13 Ciudad Real;Total;Abril;1,70
13 Ciudad Real;Total;Mayo;1,75
13 Ciudad Real;Total;Junio;1,62
13 Ciudad Real;Total;Julio;1,60
13 Ciudad Real;Total;Agosto;1,67
13 Ciudad Real;Total;Septiembre;1,59
13 Ciudad Real;Total;Octubre;1,72
13 Ciudad Real;Total;Noviembre;1,63
13 Ciudad Real;Total;Diciembre;1,60
13 Ciudad Real;Residentes en España;Total;1,64
13 Ciudad Real;Residentes en España;Enero;1,79
13 Ciudad Real;Residentes en España;Febrero;1,71
13 Ciudad Real;Residentes en España;Marzo;1,61
13 Ciudad Real;Residentes en España;Abril;1,67
13 Ciudad Real;Residentes en España;Mayo;1,71
13 Ciudad Real;Residentes en España;Junio;1,60
13 Ciudad Real;Residentes en España;Julio;1,59
13 Ciudad Real;Residentes en España;Agosto;1,65
