Variable_original,Etiqueta_Stata,Estado,Variable_destino
b1209c,"b1209c: que tipo de desavenencia sobre seguros, fondos de pensiones…?: c. fondos",Agrupada en variable padre,b1209x
b1209d,"b1209d: que tipo de desavenencia sobre seguros, fondos de pensiones…?: d. otros",Agrupada en variable padre,b1209x
b1230a,b1230a: si experimentara alguna dificultad... con quien contactaria?: a. banco d,Agrupada en variable padre,b1230x
b1230b,b1230b: si experimentara alguna dificultad... con quien contactaria?: b. ministe,Agrupada en variable padre,b1230x
b1230c,b1230c: si experimentara alguna dificultad... con quien contactaria?: c. defenso,Agrupada en variable padre,b1230x
b1230d,b1230d: si experimentara alguna dificultad... con quien contactaria?: d. comisio,Agrupada en variable padre,b1230x
b1230e,b1230e: si experimentara alguna dificultad... con quien contactaria?: e. juzgado,Agrupada en variable padre,b1230x
b1230f,b1230f: si experimentara alguna dificultad... con quien contactaria?: f. organiz,Agrupada en variable padre,b1230x
b1230g,b1230g: si experimentara alguna dificultad... con quien contactaria?: g. amigos ,Agrupada en variable padre,b1230x
b1230h,b1230h: si experimentara alguna dificultad... con quien contactaria?: h. otros,Agrupada en variable padre,b1230x
c0100,c0100: como cree que esta planificando su jubilacion o vejez?,Conservada directamente,c0100
c0200a,c0200a: fuentes ingresos para jubilacion?: a. pension publica,Agrupada en variable padre,c0200x
c0200b,c0200b: fuentes ingresos para jubilacion?: b. plan de pensiones de empresa,Agrupada en variable padre,c0200x
c0200c,c0200c: fuentes ingresos para jubilacion?: c. plan de pensiones individual,Agrupada en variable padre,c0200x
c0200d,c0200d: fuentes ingresos para jubilacion?: d. ingresos de un conyuge o pareja,Agrupada en variable padre,c0200x
c0200e,c0200e: fuentes ingresos para jubilacion?: e. ayuda de sus hijos...,Agrupada en variable padre,c0200x
c0200f,c0200f: fuentes ingresos para jubilacion?: f. ingresos generados por sus activos,Agrupada en variable padre,c0200x
c0200g,c0200g: fuentes ingresos para jubilacion?: g. venta de activos financieros,Agrupada en variable padre,c0200x
c0200h,c0200h: fuentes ingresos para jubilacion?: h. venta de activos no financieros,Agrupada en variable padre,c0200x
c0200i,c0200i: fuentes ingresos para jubilacion?: i. ayuda de instituciones beneficas,Agrupada en variable padre,c0200x
c0200j,c0200j: fuentes ingresos para jubilacion?: j. ingresos procedentes de otras acti,Agrupada en variable padre,c0200x
c0200k,c0200k: fuentes ingresos para jubilacion?: k. otros,Agrupada en variable padre,c0200x
c0300,c0300: a que edad espera jubilarse?,Conservada directamente,c0300
c0500,c0500: como cree que ha planificado su jubilacion?,Conservada directamente,c0500
c0600a,c0600a: actuales fuentes ingresos (jubilado)? a.pension publica,Agrupada en variable padre,c0600x
