,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date,estancia_media_esp,estancia_media_ext
147,2023M03,29 Málaga,463698,200193,263505,1368261,425355,942906,2.950758899,2.124724641,3.578322992,2023,3,3/1/2023,-2.124724641,3.578322992
148,2023M03,41 Sevilla,314817,166958,147858,643519,307168,336351,2.044104988,1.839792044,2.274824494,2023,3,3/1/2023,-1.839792044,2.274824494
149,2023M03,"07 Balears, Illes",230407,62568,167839,944911,173879,771032,4.101051617,2.779040404,4.593878658,2023,3,3/1/2023,-2.779040404,4.593878658
150,2023M03,08 Barcelona,953261,312242,641018,2347803,603748,1744055,2.462917291,1.933589972,2.720758231,2023,3,3/1/2023,-1.933589972,2.720758231
151,2023M03,17 Girona,187875,100350,87525,415967,190360,225607,2.214062542,1.896960638,2.577629249,2023,3,3/1/2023,-1.896960638,2.577629249
152,2023M03,46 Valencia/València,305012,189978,115034,662350,380411,281939,2.171553906,2.002395014,2.450918859,2023,3,3/1/2023,-2.002395014,2.450918859
153,2023M03,28 Madrid,1053885,582240,471645,2040209,975377,1064832,1.935893385,1.675214688,2.257698057,2023,3,3/1/2023,-1.675214688,2.257698057
154,2023M02,29 Málaga,313400,151277,162123,928384,304848,623536,2.962297384,2.015164235,3.846067492,2023,2,2/1/2023,-2.015164235,3.846067492
155,2023M02,41 Sevilla,268601,155381,113220,526552,264978,261574,1.96035011,1.705343639,2.310316199,2023,2,2/1/2023,-1.705343639,2.310316199
156,2023M02,"07 Balears, Illes",124782,51577,73205,466420,140170,326250,3.737878861,2.717684239,4.456662796,2023,2,2/1/2023,-2.717684239,4.456662796
157,2023M02,08 Barcelona,768787,252316,516471,1951571,487297,1464273,2.538506765,1.93129647,2.835150473,2023,2,2/1/2023,-1.93129647,2.835150473
158,2023M02,17 Girona,145938,84001,61937,290680,145810,144870,1.991804739,1.735812669,2.338989618,2023,2,2/1/2023,-1.735812669,2.338989618
159,2023M02,46 Valencia/València,229187,140086,89102,464102,246297,217805,2.024992692,1.758184258,2.444445691,2023,2,2/1/2023,-1.758184258,2.444445691
160,2023M02,28 Madrid,879144,523275,355868,1705884,903932,801952,1.940392018,1.727451149,2.253509728,2023,2,2/1/2023,-1.727451149,2.253509728
161,2023M01,29 Málaga,264643,117089,147553,759798,234979,524819,2.871030029,2.00684095,3.556816873,2023,1,1/1/2023,-2.00684095,3.556816873
162,2023M01,41 Sevilla,244929,135802,109127,481877,236477,245400,1.967415047,1.741336652,2.248756037,2023,1,1/1/2023,-1.741336652,2.248756037
163,2023M01,"07 Balears, Illes",75909,35443,40466,237815,85942,151873,3.132895968,2.424794741,3.753101369,2023,1,1/1/2023,-2.424794741,3.753101369
164,2023M01,08 Barcelona,707279,249509,457770,1703654,462121,1241533,2.408743933,1.852121567,2.71213273,2023,1,1/1/2023,-1.852121567,2.71213273
165,2023M01,17 Girona,122352,77001,45351,240467,138992,101475,1.965370407,1.805067467,2.237547132,2023,1,1/1/2023,-1.805067467,2.237547132
166,2023M01,46 Valencia/València,217225,130482,86743,428678,226343,202335,1.973428473,1.734668383,2.332580151,2023,1,1/1/2023,-1.734668383,2.332580151
167,2023M01,28 Madrid,888093,532766,355327,1736647,920267,816381,1.955478762,1.727338081,2.297548455,2023,1,1/1/2023,-1.727338081,2.297548455
168,2022M12,29 Málaga,284226,150406,133820,780093,325403,454689,2.744622237,2.163497467,3.397765655,2022,12,12/1/2022,-2.163497467,3.397765655
169,2022M12,41 Sevilla,242998,142195,100802,484304,261724,222580,1.99303698,1.840599177,2.208091109,2022,12,12/1/2022,-1.840599177,2.208091109
170,2022M12,"07 Balears, Illes",80696,35980,44716,248269,80586,167682,3.076596114,2.239744302,3.74993291,2022,12,12/1/2022,-2.239744302,3.74993291
171,2022M12,08 Barcelona,743057,264577,478479,1761045,498284,1262761,2.369999879,1.883323191,2.639114778,2022,12,12/1/2022,-1.883323191,2.639114778
172,2022M12,17 Girona,155444,101790,53654,298209,189849,108360,1.918433648,1.865104627,2.019607112,2022,12,12/1/2022,-1.865104627,2.019607112
