,provincia_simp,viajeros_esp,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla
158,Girona,84001,1.97,0.84,0.31,1.04,0.41,0.25,0.62,0.4,81.73,3.76,0.27,0.76,5.29,0.81,0.24,1.23,0.08,0.01,0.0
159,46 Valencia/València,140086,13.1,2.74,0.81,2.13,1.04,0.63,2.77,3.67,11.81,26.08,0.75,1.63,25.3,3.67,0.62,2.1,0.36,0.71,0.08
160,Madrid,523275,13.85,2.31,2.54,2.28,3.16,1.84,4.46,3.47,13.73,8.05,2.51,4.51,26.48,2.57,1.55,5.03,0.87,0.26,0.53
161,Málaga,117089,55.37,0.94,0.9,1.41,0.93,0.42,1.36,2.52,5.86,3.2,1.54,1.3,16.12,1.62,0.32,1.96,0.26,1.16,2.8
162,Sevilla,135802,47.86,1.09,0.9,2.25,1.89,0.84,3.1,3.11,7.6,4.9,4.5,1.62,15.56,1.24,0.57,1.98,0.31,0.5,0.19
163,Illes Balears,35443,4.73,0.41,0.51,46.47,0.75,0.29,1.11,0.78,13.14,6.09,0.43,1.25,17.99,1.12,2.68,2.04,0.16,0.05,0.01
164,Barcelona,249509,5.39,2.49,0.9,2.5,1.52,0.52,1.58,1.34,43.11,6.3,0.71,2.37,22.64,0.87,1.18,5.23,0.43,0.13,0.81
165,Girona,77001,2.03,0.74,0.26,0.88,0.35,0.27,0.48,0.43,81.74,4.14,0.28,1.45,4.88,0.43,0.18,1.33,0.06,0.06,0.0
166,46 Valencia/València,130482,11.27,3.1,1.08,2.15,0.81,0.52,2.4,4.0,12.14,28.09,0.63,1.71,25.09,3.93,0.71,1.73,0.46,0.1,0.08
167,Madrid,532766,12.96,2.45,2.38,2.72,3.24,1.58,5.37,4.1,12.71,9.63,2.76,4.05,25.18,2.95,1.52,4.79,0.85,0.59,0.18
168,Málaga,150406,53.92,0.67,1.02,1.3,0.99,0.91,1.84,2.64,5.46,3.73,1.36,1.22,16.96,2.02,0.42,1.56,0.25,1.01,2.71
169,Sevilla,142195,42.15,1.16,1.11,1.89,1.8,0.52,2.62,3.33,7.71,4.78,4.78,1.54,20.03,2.06,0.82,2.53,0.31,0.58,0.28
170,Illes Balears,35980,5.48,0.48,0.44,47.4,0.64,0.51,2.81,0.78,14.3,5.94,0.63,2.48,13.81,1.12,0.58,2.15,0.39,0.01,0.06
171,Barcelona,264577,6.48,2.47,0.7,2.86,1.59,0.53,1.53,1.49,44.63,6.28,0.48,2.33,21.0,1.01,0.95,4.72,0.54,0.2,0.21
172,Girona,101790,2.05,0.67,0.25,0.85,0.19,0.08,0.54,0.6,81.18,3.39,0.22,0.79,5.87,1.98,0.18,1.07,0.05,0.03,0.0
173,46 Valencia/València,140763,11.9,2.92,0.78,2.5,0.88,0.4,2.36,3.87,12.65,28.96,0.67,1.69,22.46,4.44,1.02,2.1,0.31,0.06,0.03
174,Madrid,620080,12.51,2.56,2.46,1.97,2.91,1.58,5.37,3.71,12.36,10.01,2.73,4.15,26.49,2.95,1.52,5.06,1.04,0.26,0.37
175,Málaga,144414,53.07,0.87,0.76,1.19,1.04,0.35,1.75,1.88,7.23,4.11,1.26,1.34,17.39,1.96,0.52,1.89,0.14,0.72,2.52
176,Sevilla,159021,40.39,1.36,1.09,1.9,1.92,0.94,3.01,3.19,9.27,4.67,4.2,1.89,20.31,1.81,0.78,2.1,0.62,0.41,0.13
177,Illes Balears,44337,6.36,1.27,0.84,36.89,1.32,0.47,1.08,0.98,18.78,7.76,0.27,3.14,17.1,1.25,0.52,1.81,0.14,0.0,0.03
178,Barcelona,267015,6.82,2.31,0.77,3.39,1.95,0.86,1.58,1.52,40.47,7.0,0.86,2.52,22.46,0.86,0.93,3.96,0.48,0.79,0.46
179,Girona,75232,2.65,0.95,0.75,1.34,0.34,0.48,1.07,0.71,80.09,3.89,0.25,0.71,5.25,0.22,0.24,0.97,0.09,0.02,0.0
180,46 Valencia/València,148180,11.25,2.26,0.91,1.87,0.96,0.53,2.64,3.94,13.78,27.3,0.7,2.07,24.22,4.03,0.77,2.06,0.58,0.06,0.06
181,Madrid,593671,14.17,2.4,2.48,2.34,2.92,1.81,5.16,3.66,13.9,8.54,2.61,4.46,24.27,3.15,1.96,4.89,0.85,0.23,0.19
182,Málaga,183271,53.74,0.86,1.08,0.96,0.98,0.76,2.1,2.28,5.46,3.48,2.11,2.31,16.66,1.63,0.77,2.05,0.28,1.01,1.49
183,Sevilla,163745,42.63,1.4,1.28,1.52,1.99,0.92,3.2,2.43,9.0,4.39,3.45,2.01,19.87,1.6,0.76,2.26,0.6,0.55,0.15
184,Illes Balears,167105,6.97,1.22,0.85,47.07,1.06,0.84,1.37,1.04,12.15,4.57,0.65,1.31,16.9,0.78,0.47,2.13,0.21,0.07,0.33
185,Barcelona,316090,6.94,2.1,0.71,2.43,1.54,0.72,1.51,1.33,49.22,5.62,0.69,2.55,18.32,0.88,0.89,3.43,0.36,0.72,0.04
186,Girona,148190,2.23,1.1,0.39,0.49,0.31,0.18,0.57,0.83,80.27,4.4,0.49,0.61,5.1,0.51,0.3,2.04,0.15,0.01,0.01
187,46 Valencia/València,165661,11.3,2.56,0.9,1.77,0.91,0.58,2.52,4.21,14.83,26.18,0.78,2.45,23.45,3.85,0.8,2.17,0.5,0.13,0.09
188,Madrid,582487,14.29,2.5,2.78,1.98,3.65,1.84,4.95,3.61,12.89,8.34,2.5,4.65,24.78,3.15,1.43,4.95,0.91,0.48,0.31
189,Málaga,224895,55.88,0.83,1.21,0.91,1.31,0.53,2.56,2.49,4.7,2.82,3.03,1.41,15.63,1.82,0.58,1.89,0.34,0.97,1.11
190,Sevilla,164561,42.32,1.26,1.29,1.43,2.37,1.14,2.98,2.72,8.52,4.36,4.12,2.23,19.58,1.52,0.81,2.03,0.63,0.53,0.14
191,Illes Balears,187516,9.26,1.28,1.99,28.34,1.74,1.51,2.1,1.21,15.69,6.14,0.98,2.74,20.35,1.56,0.66,3.38,0.48,0.34,0.23
192,Barcelona,296716,7.48,2.4,1.55,2.12,1.59,0.45,1.76,1.43,48.35,5.59,0.64,2.3,18.91,0.81,0.78,3.31,0.33,0.07,0.1
193,Girona,176025,2.29,1.59,0.39,0.5,0.24,0.19,1.14,0.74,79.93,3.0,0.31,0.71,4.48,0.87,0.69,2.57,0.29,0.03,0.03
194,46 Valencia/València,181953,11.98,2.54,0.98,1.8,1.17,0.47,4.02,5.92,12.79,20.78,0.94,2.04,25.74,3.94,0.82,3.08,0.58,0.36,0.05
195,Madrid,550019,13.49,2.69,3.05,2.31,2.92,2.17,5.09,3.23,13.04,7.93,2.76,4.77,25.3,2.81,1.65,5.13,1.11,0.31,0.24
196,Málaga,321902,52.73,0.86,0.79,0.88,0.78,0.3,2.52,3.74,4.98,3.02,3.65,1.31,18.12,1.68,0.43,2.22,0.25,1.01,0.72
197,Sevilla,147417,48.63,1.22,1.43,0.58,1.84,0.93,3.06,2.44,9.02,4.06,4.34,2.1,14.22,1.22,0.79,2.95,0.49,0.48,0.18
198,Illes Balears,284123,10.2,1.01,1.39,26.43,1.07,1.26,1.63,1.5,16.97,7.03,1.23,2.68,19.6,2.02,0.6,4.55,0.73,0.09,0.01
199,Barcelona,283775,6.84,2.83,0.58,1.34,1.87,0.77,1.6,1.68,54.17,4.92,0.59,2.02,14.96,1.08,1.01,2.99,0.52,0.2,0.03
200,Girona,273522,2.08,1.36,0.34,0.4,0.19,0.28,0.83,1.02,76.4,4.21,0.24,0.81,6.58,0.45,1.11,3.34,0.35,0.02,0.0
201,46 Valencia/València,199207,11.28,3.55,0.64,1.36,0.64,0.38,3.79,7.41,11.41,18.04,0.92,1.35,31.77,3.1,0.72,2.84,0.67,0.09,0.05
202,Madrid,448780,13.82,2.49,2.82,1.88,2.5,1.71,4.43,3.29,13.03,9.03,2.49,4.52,25.98,2.99,1.66,6.01,0.94,0.24,0.17
203,Málaga,334995,60.91,0.86,0.79,0.62,0.72,0.38,2.34,3.5,2.61,2.08,3.67,1.02,15.14,1.24,0.43,1.74,0.51,0.71,0.72
204,Sevilla,138999,50.63,1.17,1.52,0.77,2.04,1.13,3.18,2.34,6.5,3.55,5.51,1.72,14.8,1.37,0.71,1.85,0.5,0.5,0.2
205,Illes Balears,242215,11.56,1.71,2.16,22.11,1.39,1.08,2.54,1.69,16.05,7.47,0.85,2.44,19.28,1.43,0.86,5.33,0.73,0.14,1.19
206,Barcelona,335624,6.47,2.76,1.21,1.65,1.7,0.49,1.59,1.44,51.08,5.41,0.64,1.89,17.05,1.09,1.23,3.27,0.43,0.59,0.0
207,Girona,244445,2.19,1.66,0.29,0.56,0.27,0.33,1.05,0.82,75.9,3.59,0.37,0.91,6.6,0.96,1.08,3.04,0.34,0.03,0.0
208,46 Valencia/València,216352,10.45,3.44,0.89,1.36,0.8,0.56,3.98,7.23,9.41,20.85,1.27,2.0,30.7,2.65,0.87,2.93,0.5,0.08,0.04
209,Madrid,480539,13.46,2.36,3.02,1.58,2.88,1.81,4.79,3.52,12.52,8.22,2.51,4.5,28.11,2.64,1.34,5.31,1.02,0.26,0.15
210,Málaga,258698,60.68,0.68,1.17,0.75,0.94,0.47,1.91,3.09,3.36,2.53,2.63,1.1,15.5,1.33,0.34,1.74,0.26,0.78,0.75
211,Sevilla,175085,45.19,1.26,1.12,0.96,1.84,0.92,3.34,2.83,8.08,4.61,3.63,2.13,18.47,2.08,0.5,1.9,0.48,0.48,0.19
212,Illes Balears,238985,8.67,1.59,1.68,24.32,1.57,1.6,2.14,1.1,15.28,8.96,0.74,3.13,20.36,1.74,0.96,4.82,0.7,0.13,0.54
213,Barcelona,303980,5.16,2.2,1.42,1.58,1.61,0.57,1.59,2.15,52.42,5.48,0.48,1.97,16.93,0.87,0.92,3.75,0.33,0.1,0.45
214,Girona,255088,1.73,1.11,0.36,0.29,0.45,0.18,0.79,0.61,80.1,3.69,0.33,0.75,4.66,1.12,0.53,2.82,0.43,0.03,0.03
215,46 Valencia/València,208777,10.27,2.76,0.82,1.3,0.74,0.55,3.83,6.4,10.5,21.82,0.81,2.18,30.6,3.29,1.1,2.27,0.66,0.06,0.03
216,Madrid,554884,12.75,2.53,2.84,2.23,2.71,2.03,5.13,3.31,13.09,8.11,2.54,4.68,26.6,3.08,1.85,5.18,0.89,0.27,0.18
217,Málaga,216312,56.26,0.81,0.91,0.99,1.38,0.48,2.27,2.76,4.46,3.21,1.68,1.77,14.59,1.62,0.74,2.8,1.01,0.82,1.44
