Total Nacional;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;09 Cataluña;Luxemburgo;Noviembre;1.117
Total Nacional;09 Cataluña;Luxemburgo;Diciembre;704
Total Nacional;09 Cataluña;Países Bajos;Total;552.849
Total Nacional;09 Cataluña;Países Bajos;Enero;20.965
Total Nacional;09 Cataluña;Países Bajos;Febrero;22.842
Total Nacional;09 Cataluña;Países Bajos;Marzo;25.357
Total Nacional;09 Cataluña;Países Bajos;Abril;39.377
Total Nacional;09 Cataluña;Países Bajos;Mayo;56.931
Total Nacional;09 Cataluña;Países Bajos;Junio;57.108
Total Nacional;09 Cataluña;Países Bajos;Julio;96.669
Total Nacional;09 Cataluña;Países Bajos;Agosto;81.329
Total Nacional;09 Cataluña;Países Bajos;Septiembre;56.925
Total Nacional;09 Cataluña;Países Bajos;Octubre;50.779
Total Nacional;09 Cataluña;Países Bajos;Noviembre;23.270
Total Nacional;09 Cataluña;Países Bajos;Diciembre;21.297
Total Nacional;09 Cataluña;Polonia;Total;329.922
Total Nacional;09 Cataluña;Polonia;Enero;13.906
Total Nacional;09 Cataluña;Polonia;Febrero;15.481
Total Nacional;09 Cataluña;Polonia;Marzo;18.512
Total Nacional;09 Cataluña;Polonia;Abril;26.115
Total Nacional;09 Cataluña;Polonia;Mayo;36.558
Total Nacional;09 Cataluña;Polonia;Junio;44.977
Total Nacional;09 Cataluña;Polonia;Julio;40.671
Total Nacional;09 Cataluña;Polonia;Agosto;36.307
Total Nacional;09 Cataluña;Polonia;Septiembre;40.955
Total Nacional;09 Cataluña;Polonia;Octubre;27.202
Total Nacional;09 Cataluña;Polonia;Noviembre;17.212
Total Nacional;09 Cataluña;Polonia;Diciembre;12.026
Total Nacional;09 Cataluña;Portugal;Total;265.479
Total Nacional;09 Cataluña;Portugal;Enero;12.829
Total Nacional;09 Cataluña;Portugal;Febrero;19.006
Total Nacional;09 Cataluña;Portugal;Marzo;20.401
Total Nacional;09 Cataluña;Portugal;Abril;23.535
Total Nacional;09 Cataluña;Portugal;Mayo;20.689
Total Nacional;09 Cataluña;Portugal;Junio;26.125
Total Nacional;09 Cataluña;Portugal;Julio;28.610
Total Nacional;09 Cataluña;Portugal;Agosto;37.352
Total Nacional;09 Cataluña;Portugal;Septiembre;25.527
Total Nacional;09 Cataluña;Portugal;Octubre;19.690
Total Nacional;09 Cataluña;Portugal;Noviembre;15.805
Total Nacional;09 Cataluña;Portugal;Diciembre;15.911
Total Nacional;09 Cataluña;República Checa;Total;81.513
Total Nacional;09 Cataluña;República Checa;Enero;3.166
Total Nacional;09 Cataluña;República Checa;Febrero;4.552
Total Nacional;09 Cataluña;República Checa;Marzo;5.902
Total Nacional;09 Cataluña;República Checa;Abril;6.622
Total Nacional;09 Cataluña;República Checa;Mayo;7.538
Total Nacional;09 Cataluña;República Checa;Junio;9.018
Total Nacional;09 Cataluña;República Checa;Julio;9.355
Total Nacional;09 Cataluña;República Checa;Agosto;7.700
Total Nacional;09 Cataluña;República Checa;Septiembre;10.284
Total Nacional;09 Cataluña;República Checa;Octubre;9.504
Total Nacional;09 Cataluña;República Checa;Noviembre;5.188
Total Nacional;09 Cataluña;República Checa;Diciembre;2.685
Total Nacional;09 Cataluña;Suecia;Total;129.081
Total Nacional;09 Cataluña;Suecia;Enero;5.562
Total Nacional;09 Cataluña;Suecia;Febrero;6.745
Total Nacional;09 Cataluña;Suecia;Marzo;9.836
Total Nacional;09 Cataluña;Suecia;Abril;12.882
Total Nacional;09 Cataluña;Suecia;Mayo;12.037
Total Nacional;09 Cataluña;Suecia;Junio;14.465
Total Nacional;09 Cataluña;Suecia;Julio;17.306
Total Nacional;09 Cataluña;Suecia;Agosto;10.391
Total Nacional;09 Cataluña;Suecia;Septiembre;13.337
Total Nacional;09 Cataluña;Suecia;Octubre;14.255
Total Nacional;09 Cataluña;Suecia;Noviembre;8.420
Total Nacional;09 Cataluña;Suecia;Diciembre;3.845
Total Nacional;09 Cataluña;Noruega;Total;88.410
Total Nacional;09 Cataluña;Noruega;Enero;2.829
Total Nacional;09 Cataluña;Noruega;Febrero;3.776
Total Nacional;09 Cataluña;Noruega;Marzo;6.636
Total Nacional;09 Cataluña;Noruega;Abril;9.429
Total Nacional;09 Cataluña;Noruega;Mayo;7.343
Total Nacional;09 Cataluña;Noruega;Junio;10.326
Total Nacional;09 Cataluña;Noruega;Julio;14.715
Total Nacional;09 Cataluña;Noruega;Agosto;5.054
Total Nacional;09 Cataluña;Noruega;Septiembre;10.075
Total Nacional;09 Cataluña;Noruega;Octubre;11.007
Total Nacional;09 Cataluña;Noruega;Noviembre;4.820
Total Nacional;09 Cataluña;Noruega;Diciembre;2.400
Total Nacional;09 Cataluña;Reino Unido;Total;1.458.526
Total Nacional;09 Cataluña;Reino Unido;Enero;43.067
Total Nacional;09 Cataluña;Reino Unido;Febrero;55.153
Total Nacional;09 Cataluña;Reino Unido;Marzo;73.490
Total Nacional;09 Cataluña;Reino Unido;Abril;99.302
Total Nacional;09 Cataluña;Reino Unido;Mayo;183.486
Total Nacional;09 Cataluña;Reino Unido;Junio;208.482
Total Nacional;09 Cataluña;Reino Unido;Julio;182.927
Total Nacional;09 Cataluña;Reino Unido;Agosto;202.516
Total Nacional;09 Cataluña;Reino Unido;Septiembre;181.125
Total Nacional;09 Cataluña;Reino Unido;Octubre;134.030
Total Nacional;09 Cataluña;Reino Unido;Noviembre;53.223
Total Nacional;09 Cataluña;Reino Unido;Diciembre;41.724
Total Nacional;09 Cataluña;Suiza;Total;244.336
Total Nacional;09 Cataluña;Suiza;Enero;9.386
Total Nacional;09 Cataluña;Suiza;Febrero;12.592
Total Nacional;09 Cataluña;Suiza;Marzo;15.256
Total Nacional;09 Cataluña;Suiza;Abril;21.727
Total Nacional;09 Cataluña;Suiza;Mayo;22.708
Total Nacional;09 Cataluña;Suiza;Junio;23.206
Total Nacional;09 Cataluña;Suiza;Julio;34.897
Total Nacional;09 Cataluña;Suiza;Agosto;23.885
Total Nacional;09 Cataluña;Suiza;Septiembre;28.076
Total Nacional;09 Cataluña;Suiza;Octubre;27.870
Total Nacional;09 Cataluña;Suiza;Noviembre;12.192
Total Nacional;09 Cataluña;Suiza;Diciembre;12.541
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Total;666.128
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Enero;33.119
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Febrero;38.175
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Marzo;48.109
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Abril;54.340
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Mayo;61.565
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Junio;71.781
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Julio;76.569
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Agosto;71.138
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Septiembre;81.393
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Octubre;62.117
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Noviembre;35.588
Total Nacional;09 Cataluña;Resto de Europa sin U.E.;Diciembre;32.235
Total Nacional;09 Cataluña;Japón;Total;144.182
Total Nacional;09 Cataluña;Japón;Enero;9.421
Total Nacional;09 Cataluña;Japón;Febrero;11.823
Total Nacional;09 Cataluña;Japón;Marzo;12.021
Total Nacional;09 Cataluña;Japón;Abril;10.969
Total Nacional;09 Cataluña;Japón;Mayo;11.766
Total Nacional;09 Cataluña;Japón;Junio;11.986
Total Nacional;09 Cataluña;Japón;Julio;10.019
Total Nacional;09 Cataluña;Japón;Agosto;12.755
Total Nacional;09 Cataluña;Japón;Septiembre;14.524
Total Nacional;09 Cataluña;Japón;Octubre;13.330
Total Nacional;09 Cataluña;Japón;Noviembre;11.611
Total Nacional;09 Cataluña;Japón;Diciembre;13.957
Total Nacional;09 Cataluña;República China;Total;324.159
Total Nacional;09 Cataluña;República China;Enero;16.853
Total Nacional;09 Cataluña;República China;Febrero;33.067
Total Nacional;09 Cataluña;República China;Marzo;22.858
Total Nacional;09 Cataluña;República China;Abril;28.400
Total Nacional;09 Cataluña;República China;Mayo;28.531
Total Nacional;09 Cataluña;República China;Junio;30.584
Total Nacional;09 Cataluña;República China;Julio;29.468
Total Nacional;09 Cataluña;República China;Agosto;27.517
Total Nacional;09 Cataluña;República China;Septiembre;28.972
Total Nacional;09 Cataluña;República China;Octubre;32.180
Total Nacional;09 Cataluña;República China;Noviembre;22.395
Total Nacional;09 Cataluña;República China;Diciembre;23.333
Total Nacional;09 Cataluña;Estados Unidos;Total;1.530.459
Total Nacional;09 Cataluña;Estados Unidos;Enero;49.502
Total Nacional;09 Cataluña;Estados Unidos;Febrero;53.983
Total Nacional;09 Cataluña;Estados Unidos;Marzo;105.879
Total Nacional;09 Cataluña;Estados Unidos;Abril;122.749
Total Nacional;09 Cataluña;Estados Unidos;Mayo;189.672
Total Nacional;09 Cataluña;Estados Unidos;Junio;208.009
Total Nacional;09 Cataluña;Estados Unidos;Julio;182.122
Total Nacional;09 Cataluña;Estados Unidos;Agosto;150.964
Total Nacional;09 Cataluña;Estados Unidos;Septiembre;159.030
Total Nacional;09 Cataluña;Estados Unidos;Octubre;151.137
Total Nacional;09 Cataluña;Estados Unidos;Noviembre;99.830
Total Nacional;09 Cataluña;Estados Unidos;Diciembre;57.582
Total Nacional;09 Cataluña;Resto de América;Total;1.054.062
Total Nacional;09 Cataluña;Resto de América;Enero;57.058
Total Nacional;09 Cataluña;Resto de América;Febrero;51.853
Total Nacional;09 Cataluña;Resto de América;Marzo;72.587
Total Nacional;09 Cataluña;Resto de América;Abril;77.503
Total Nacional;09 Cataluña;Resto de América;Mayo;109.813
Total Nacional;09 Cataluña;Resto de América;Junio;103.843
Total Nacional;09 Cataluña;Resto de América;Julio;123.634
Total Nacional;09 Cataluña;Resto de América;Agosto;110.187
Total Nacional;09 Cataluña;Resto de América;Septiembre;116.877
Total Nacional;09 Cataluña;Resto de América;Octubre;103.459
Total Nacional;09 Cataluña;Resto de América;Noviembre;71.986
Total Nacional;09 Cataluña;Resto de América;Diciembre;55.261
Total Nacional;09 Cataluña;Países africanos;Total;212.371
Total Nacional;09 Cataluña;Países africanos;Enero;14.457
Total Nacional;09 Cataluña;Países africanos;Febrero;13.944
Total Nacional;09 Cataluña;Países africanos;Marzo;10.684
Total Nacional;09 Cataluña;Países africanos;Abril;14.707
Total Nacional;09 Cataluña;Países africanos;Mayo;17.590
Total Nacional;09 Cataluña;Países africanos;Junio;18.270
Total Nacional;09 Cataluña;Países africanos;Julio;25.218
Total Nacional;09 Cataluña;Países africanos;Agosto;26.853
Total Nacional;09 Cataluña;Países africanos;Septiembre;19.395
Total Nacional;09 Cataluña;Países africanos;Octubre;17.923
Total Nacional;09 Cataluña;Países africanos;Noviembre;16.031
Total Nacional;09 Cataluña;Países africanos;Diciembre;17.300
Total Nacional;10 Comunitat Valenciana;Total;Total;9.724.124
Total Nacional;10 Comunitat Valenciana;Total;Enero;490.786
Total Nacional;10 Comunitat Valenciana;Total;Febrero;607.126
Total Nacional;10 Comunitat Valenciana;Total;Marzo;805.189
Total Nacional;10 Comunitat Valenciana;Total;Abril;815.492
Total Nacional;10 Comunitat Valenciana;Total;Mayo;937.531
Total Nacional;10 Comunitat Valenciana;Total;Junio;978.865
Total Nacional;10 Comunitat Valenciana;Total;Julio;1.052.470
Total Nacional;10 Comunitat Valenciana;Total;Agosto;1.151.290
Total Nacional;10 Comunitat Valenciana;Total;Septiembre;917.581
Total Nacional;10 Comunitat Valenciana;Total;Octubre;839.583
Total Nacional;10 Comunitat Valenciana;Total;Noviembre;586.649
Total Nacional;10 Comunitat Valenciana;Total;Diciembre;541.561
Total Nacional;10 Comunitat Valenciana;Residentes en España;Total;5.384.694
Total Nacional;10 Comunitat Valenciana;Residentes en España;Enero;271.620
Total Nacional;10 Comunitat Valenciana;Residentes en España;Febrero;348.916
Total Nacional;10 Comunitat Valenciana;Residentes en España;Marzo;461.706
Total Nacional;10 Comunitat Valenciana;Residentes en España;Abril;418.491
Total Nacional;10 Comunitat Valenciana;Residentes en España;Mayo;492.600
Total Nacional;10 Comunitat Valenciana;Residentes en España;Junio;571.156
Total Nacional;10 Comunitat Valenciana;Residentes en España;Julio;607.104
Total Nacional;10 Comunitat Valenciana;Residentes en España;Agosto;668.436
Total Nacional;10 Comunitat Valenciana;Residentes en España;Septiembre;477.553
Total Nacional;10 Comunitat Valenciana;Residentes en España;Octubre;410.411
Total Nacional;10 Comunitat Valenciana;Residentes en España;Noviembre;330.683
Total Nacional;10 Comunitat Valenciana;Residentes en España;Diciembre;326.018
Total Nacional;10 Comunitat Valenciana;No residentes en España;Total;4.339.430
Total Nacional;10 Comunitat Valenciana;No residentes en España;Enero;219.166
Total Nacional;10 Comunitat Valenciana;No residentes en España;Febrero;258.210
Total Nacional;10 Comunitat Valenciana;No residentes en España;Marzo;343.483
Total Nacional;10 Comunitat Valenciana;No residentes en España;Abril;397.001
Total Nacional;10 Comunitat Valenciana;No residentes en España;Mayo;444.932
Total Nacional;10 Comunitat Valenciana;No residentes en España;Junio;407.709
Total Nacional;10 Comunitat Valenciana;No residentes en España;Julio;445.366
Total Nacional;10 Comunitat Valenciana;No residentes en España;Agosto;482.853
Total Nacional;10 Comunitat Valenciana;No residentes en España;Septiembre;440.028
Total Nacional;10 Comunitat Valenciana;No residentes en España;Octubre;429.172
Total Nacional;10 Comunitat Valenciana;No residentes en España;Noviembre;255.966
Total Nacional;10 Comunitat Valenciana;No residentes en España;Diciembre;215.544
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Total;2.017.877
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Enero;108.468
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Febrero;121.291
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Marzo;152.933
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Abril;185.995
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Mayo;196.102
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Junio;175.492
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Julio;212.347
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Agosto;266.276
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Septiembre;198.906
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Octubre;199.164
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Noviembre;101.623
Total Nacional;10 Comunitat Valenciana;Unión Europea 27 (sin España);Diciembre;99.280
Total Nacional;10 Comunitat Valenciana;Alemania;Total;211.326
Total Nacional;10 Comunitat Valenciana;Alemania;Enero;11.730
Total Nacional;10 Comunitat Valenciana;Alemania;Febrero;13.749
Total Nacional;10 Comunitat Valenciana;Alemania;Marzo;21.528
Total Nacional;10 Comunitat Valenciana;Alemania;Abril;21.589
Total Nacional;10 Comunitat Valenciana;Alemania;Mayo;22.132
Total Nacional;10 Comunitat Valenciana;Alemania;Junio;16.420
Total Nacional;10 Comunitat Valenciana;Alemania;Julio;17.763
Total Nacional;10 Comunitat Valenciana;Alemania;Agosto;18.545
Total Nacional;10 Comunitat Valenciana;Alemania;Septiembre;21.616
Total Nacional;10 Comunitat Valenciana;Alemania;Octubre;25.524
Total Nacional;10 Comunitat Valenciana;Alemania;Noviembre;10.427
Total Nacional;10 Comunitat Valenciana;Alemania;Diciembre;10.303
Total Nacional;10 Comunitat Valenciana;Austria;Total;28.167
Total Nacional;10 Comunitat Valenciana;Austria;Enero;1.250
Total Nacional;10 Comunitat Valenciana;Austria;Febrero;1.598
Total Nacional;10 Comunitat Valenciana;Austria;Marzo;2.712
Total Nacional;10 Comunitat Valenciana;Austria;Abril;2.753
Total Nacional;10 Comunitat Valenciana;Austria;Mayo;3.467
Total Nacional;10 Comunitat Valenciana;Austria;Junio;2.448
Total Nacional;10 Comunitat Valenciana;Austria;Julio;2.450
Total Nacional;10 Comunitat Valenciana;Austria;Agosto;2.395
Total Nacional;10 Comunitat Valenciana;Austria;Septiembre;2.816
Total Nacional;10 Comunitat Valenciana;Austria;Octubre;2.877
Total Nacional;10 Comunitat Valenciana;Austria;Noviembre;1.214
Total Nacional;10 Comunitat Valenciana;Austria;Diciembre;2.186
Total Nacional;10 Comunitat Valenciana;Bélgica;Total;172.135
Total Nacional;10 Comunitat Valenciana;Bélgica;Enero;10.145
Total Nacional;10 Comunitat Valenciana;Bélgica;Febrero;11.795
Total Nacional;10 Comunitat Valenciana;Bélgica;Marzo;12.933
Total Nacional;10 Comunitat Valenciana;Bélgica;Abril;17.231
Total Nacional;10 Comunitat Valenciana;Bélgica;Mayo;15.729
Total Nacional;10 Comunitat Valenciana;Bélgica;Junio;13.190
Total Nacional;10 Comunitat Valenciana;Bélgica;Julio;17.651
Total Nacional;10 Comunitat Valenciana;Bélgica;Agosto;16.587
Total Nacional;10 Comunitat Valenciana;Bélgica;Septiembre;17.206
Total Nacional;10 Comunitat Valenciana;Bélgica;Octubre;18.363
Total Nacional;10 Comunitat Valenciana;Bélgica;Noviembre;11.832
Total Nacional;10 Comunitat Valenciana;Bélgica;Diciembre;9.475
Total Nacional;10 Comunitat Valenciana;Dinamarca;Total;29.545
Total Nacional;10 Comunitat Valenciana;Dinamarca;Enero;1.001
Total Nacional;10 Comunitat Valenciana;Dinamarca;Febrero;1.565
Total Nacional;10 Comunitat Valenciana;Dinamarca;Marzo;3.070
Total Nacional;10 Comunitat Valenciana;Dinamarca;Abril;2.273
Total Nacional;10 Comunitat Valenciana;Dinamarca;Mayo;2.990
Total Nacional;10 Comunitat Valenciana;Dinamarca;Junio;1.717
Total Nacional;10 Comunitat Valenciana;Dinamarca;Julio;3.903
Total Nacional;10 Comunitat Valenciana;Dinamarca;Agosto;2.029
Total Nacional;10 Comunitat Valenciana;Dinamarca;Septiembre;3.497
Total Nacional;10 Comunitat Valenciana;Dinamarca;Octubre;4.099
Total Nacional;10 Comunitat Valenciana;Dinamarca;Noviembre;1.693
Total Nacional;10 Comunitat Valenciana;Dinamarca;Diciembre;1.709
Total Nacional;10 Comunitat Valenciana;Finlandia;Total;26.525
Total Nacional;10 Comunitat Valenciana;Finlandia;Enero;1.012
Total Nacional;10 Comunitat Valenciana;Finlandia;Febrero;1.829
Total Nacional;10 Comunitat Valenciana;Finlandia;Marzo;3.126
Total Nacional;10 Comunitat Valenciana;Finlandia;Abril;2.813
Total Nacional;10 Comunitat Valenciana;Finlandia;Mayo;2.271
Total Nacional;10 Comunitat Valenciana;Finlandia;Junio;2.381
Total Nacional;10 Comunitat Valenciana;Finlandia;Julio;2.386
Total Nacional;10 Comunitat Valenciana;Finlandia;Agosto;1.013
Total Nacional;10 Comunitat Valenciana;Finlandia;Septiembre;2.380
Total Nacional;10 Comunitat Valenciana;Finlandia;Octubre;3.514
Total Nacional;10 Comunitat Valenciana;Finlandia;Noviembre;2.191
Total Nacional;10 Comunitat Valenciana;Finlandia;Diciembre;1.609
Total Nacional;10 Comunitat Valenciana;Francia;Total;343.778
Total Nacional;10 Comunitat Valenciana;Francia;Enero;14.365
Total Nacional;10 Comunitat Valenciana;Francia;Febrero;17.630
Total Nacional;10 Comunitat Valenciana;Francia;Marzo;20.251
Total Nacional;10 Comunitat Valenciana;Francia;Abril;29.385
Total Nacional;10 Comunitat Valenciana;Francia;Mayo;31.756
Total Nacional;10 Comunitat Valenciana;Francia;Junio;25.038
Total Nacional;10 Comunitat Valenciana;Francia;Julio;43.308
Total Nacional;10 Comunitat Valenciana;Francia;Agosto;65.349
Total Nacional;10 Comunitat Valenciana;Francia;Septiembre;32.924
Total Nacional;10 Comunitat Valenciana;Francia;Octubre;33.094
Total Nacional;10 Comunitat Valenciana;Francia;Noviembre;13.404
Total Nacional;10 Comunitat Valenciana;Francia;Diciembre;17.273
Total Nacional;10 Comunitat Valenciana;Grecia;Total;8.481
Total Nacional;10 Comunitat Valenciana;Grecia;Enero;748
Total Nacional;10 Comunitat Valenciana;Grecia;Febrero;861
Total Nacional;10 Comunitat Valenciana;Grecia;Marzo;902
Total Nacional;10 Comunitat Valenciana;Grecia;Abril;541
Total Nacional;10 Comunitat Valenciana;Grecia;Mayo;808
Total Nacional;10 Comunitat Valenciana;Grecia;Junio;933
Total Nacional;10 Comunitat Valenciana;Grecia;Julio;675
Total Nacional;10 Comunitat Valenciana;Grecia;Agosto;591
Total Nacional;10 Comunitat Valenciana;Grecia;Septiembre;793
Total Nacional;10 Comunitat Valenciana;Grecia;Octubre;599
Total Nacional;10 Comunitat Valenciana;Grecia;Noviembre;567
Total Nacional;10 Comunitat Valenciana;Grecia;Diciembre;462
Total Nacional;10 Comunitat Valenciana;Irlanda;Total;116.229
Total Nacional;10 Comunitat Valenciana;Irlanda;Enero;5.534
Total Nacional;10 Comunitat Valenciana;Irlanda;Febrero;5.760
Total Nacional;10 Comunitat Valenciana;Irlanda;Marzo;8.557
Total Nacional;10 Comunitat Valenciana;Irlanda;Abril;13.477
Total Nacional;10 Comunitat Valenciana;Irlanda;Mayo;14.832
Total Nacional;10 Comunitat Valenciana;Irlanda;Junio;12.428
Total Nacional;10 Comunitat Valenciana;Irlanda;Julio;9.979
Total Nacional;10 Comunitat Valenciana;Irlanda;Agosto;9.867
Total Nacional;10 Comunitat Valenciana;Irlanda;Septiembre;13.280
Total Nacional;10 Comunitat Valenciana;Irlanda;Octubre;11.947
Total Nacional;10 Comunitat Valenciana;Irlanda;Noviembre;6.402
Total Nacional;10 Comunitat Valenciana;Irlanda;Diciembre;4.166
Total Nacional;10 Comunitat Valenciana;Italia;Total;298.511
Total Nacional;10 Comunitat Valenciana;Italia;Enero;19.578
Total Nacional;10 Comunitat Valenciana;Italia;Febrero;19.712
Total Nacional;10 Comunitat Valenciana;Italia;Marzo;22.559
Total Nacional;10 Comunitat Valenciana;Italia;Abril;27.989
Total Nacional;10 Comunitat Valenciana;Italia;Mayo;27.010
Total Nacional;10 Comunitat Valenciana;Italia;Junio;25.956
Total Nacional;10 Comunitat Valenciana;Italia;Julio;28.495
Total Nacional;10 Comunitat Valenciana;Italia;Agosto;45.225
Total Nacional;10 Comunitat Valenciana;Italia;Septiembre;25.583
Total Nacional;10 Comunitat Valenciana;Italia;Octubre;25.829
Total Nacional;10 Comunitat Valenciana;Italia;Noviembre;13.571
Total Nacional;10 Comunitat Valenciana;Italia;Diciembre;17.005
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Total;3.673
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Enero;142
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Febrero;245
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Marzo;245
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Abril;286
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Mayo;297
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Junio;331
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Julio;342
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Agosto;435
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Septiembre;412
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Octubre;405
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Noviembre;199
Total Nacional;10 Comunitat Valenciana;Luxemburgo;Diciembre;334
Total Nacional;10 Comunitat Valenciana;Países Bajos;Total;265.876
Total Nacional;10 Comunitat Valenciana;Países Bajos;Enero;18.229
Total Nacional;10 Comunitat Valenciana;Países Bajos;Febrero;16.252
Total Nacional;10 Comunitat Valenciana;Países Bajos;Marzo;20.101
Total Nacional;10 Comunitat Valenciana;Países Bajos;Abril;24.545
Total Nacional;10 Comunitat Valenciana;Países Bajos;Mayo;27.544
Total Nacional;10 Comunitat Valenciana;Países Bajos;Junio;24.113
Total Nacional;10 Comunitat Valenciana;Países Bajos;Julio;24.974
Total Nacional;10 Comunitat Valenciana;Países Bajos;Agosto;27.350
Total Nacional;10 Comunitat Valenciana;Países Bajos;Septiembre;26.505
Total Nacional;10 Comunitat Valenciana;Países Bajos;Octubre;27.687
Total Nacional;10 Comunitat Valenciana;Países Bajos;Noviembre;15.976
Total Nacional;10 Comunitat Valenciana;Países Bajos;Diciembre;12.601
Total Nacional;10 Comunitat Valenciana;Polonia;Total;102.796
Total Nacional;10 Comunitat Valenciana;Polonia;Enero;8.482
Total Nacional;10 Comunitat Valenciana;Polonia;Febrero;9.402
Total Nacional;10 Comunitat Valenciana;Polonia;Marzo;9.974
Total Nacional;10 Comunitat Valenciana;Polonia;Abril;9.809
Total Nacional;10 Comunitat Valenciana;Polonia;Mayo;12.603
Total Nacional;10 Comunitat Valenciana;Polonia;Junio;7.452
Total Nacional;10 Comunitat Valenciana;Polonia;Julio;7.069
Total Nacional;10 Comunitat Valenciana;Polonia;Agosto;6.502
Total Nacional;10 Comunitat Valenciana;Polonia;Septiembre;7.740
Total Nacional;10 Comunitat Valenciana;Polonia;Octubre;10.512
Total Nacional;10 Comunitat Valenciana;Polonia;Noviembre;7.325
Total Nacional;10 Comunitat Valenciana;Polonia;Diciembre;5.928
Total Nacional;10 Comunitat Valenciana;Portugal;Total;142.013
Total Nacional;10 Comunitat Valenciana;Portugal;Enero;4.134
Total Nacional;10 Comunitat Valenciana;Portugal;Febrero;4.762
Total Nacional;10 Comunitat Valenciana;Portugal;Marzo;5.929
Total Nacional;10 Comunitat Valenciana;Portugal;Abril;9.191
Total Nacional;10 Comunitat Valenciana;Portugal;Mayo;7.746
Total Nacional;10 Comunitat Valenciana;Portugal;Junio;15.665
Total Nacional;10 Comunitat Valenciana;Portugal;Julio;21.134
Total Nacional;10 Comunitat Valenciana;Portugal;Agosto;39.477
Total Nacional;10 Comunitat Valenciana;Portugal;Septiembre;18.603
Total Nacional;10 Comunitat Valenciana;Portugal;Octubre;7.375
Total Nacional;10 Comunitat Valenciana;Portugal;Noviembre;3.858
Total Nacional;10 Comunitat Valenciana;Portugal;Diciembre;4.139
Total Nacional;10 Comunitat Valenciana;República Checa;Total;17.359
Total Nacional;10 Comunitat Valenciana;República Checa;Enero;787
Total Nacional;10 Comunitat Valenciana;República Checa;Febrero;1.580
Total Nacional;10 Comunitat Valenciana;República Checa;Marzo;1.231
Total Nacional;10 Comunitat Valenciana;República Checa;Abril;1.479
Total Nacional;10 Comunitat Valenciana;República Checa;Mayo;1.970
Total Nacional;10 Comunitat Valenciana;República Checa;Junio;1.674
Total Nacional;10 Comunitat Valenciana;República Checa;Julio;2.214
Total Nacional;10 Comunitat Valenciana;República Checa;Agosto;1.661
Total Nacional;10 Comunitat Valenciana;República Checa;Septiembre;1.637
Total Nacional;10 Comunitat Valenciana;República Checa;Octubre;1.813
Total Nacional;10 Comunitat Valenciana;República Checa;Noviembre;518
Total Nacional;10 Comunitat Valenciana;República Checa;Diciembre;796
Total Nacional;10 Comunitat Valenciana;Suecia;Total;60.029
Total Nacional;10 Comunitat Valenciana;Suecia;Enero;2.453
Total Nacional;10 Comunitat Valenciana;Suecia;Febrero;3.365
Total Nacional;10 Comunitat Valenciana;Suecia;Marzo;5.172
Total Nacional;10 Comunitat Valenciana;Suecia;Abril;5.896
Total Nacional;10 Comunitat Valenciana;Suecia;Mayo;5.577
Total Nacional;10 Comunitat Valenciana;Suecia;Junio;5.963
Total Nacional;10 Comunitat Valenciana;Suecia;Julio;6.938
Total Nacional;10 Comunitat Valenciana;Suecia;Agosto;4.283
Total Nacional;10 Comunitat Valenciana;Suecia;Septiembre;6.754
