apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+
7137121,Entire home/apt,1600.0,True,13,23,42,178,80,7,2,Barcelona,2019-05-14,True
7137292,Entire home/apt,1250.0,True,8,14,39,295,93,88,196,Barcelona,2019-04-10,True
7138487,Entire home/apt,1990.0,True,2,29,59,255,,0,,Mallorca,2018-09-18,
7148125,Private room,900.0,True,0,0,13,288,93,4,8,Madrid,2019-10-16,True
7152599,Entire home/apt,1050.0,True,0,2,8,8,87,13,37,Barcelona,2018-06-09,True
7154312,Entire home/apt,900.0,True,2,3,3,3,91,35,94,Menorca,2018-07-31,True
7155428,Entire home/apt,700.0,False,18,36,61,336,90,64,312,Madrid,2017-04-08,True
7160334,Entire home/apt,1600.0,False,7,11,17,249,79,47,235,Barcelona,2017-03-06,False
7164589,Private room,300.0,True,0,0,0,0,,0,,Madrid,2020-10-17,
7166650,Entire home/apt,1200.0,True,0,0,0,227,90,50,135,Madrid,2019-01-14,True
7169803,Entire home/apt,1000.0,True,4,4,4,4,100,2,5,Madrid,2018-08-14,True
7173003,Private room,150.0,True,30,54,81,356,80,59,193,Barcelona,2018-01-17,True
7174517,Private room,220.0,True,0,0,0,0,93,3,7,Madrid,2019-05-14,True
7177169,Entire home/apt,750.0,True,6,6,6,6,88,260,416,Madrid,2020-08-25,True
7178644,Private room,400.0,False,0,0,0,0,87,3,13,Barcelona,2017-07-06,True
7185267,Entire home/apt,320.0,True,0,0,0,205,80,2,5,Malaga,2018-09-29,True
7195684,Private room,300.0,True,0,0,0,0,100,3,6,Madrid,2019-07-10,True
7200772,Entire home/apt,700.0,True,30,60,90,365,80,8,3,Mallorca,2018-09-18,True
7200873,Entire home/apt,900.0,True,14,41,71,251,91,62,201,Madrid,2018-04-12,True
7204039,Entire home/apt,810.0,True,0,0,25,49,91,88,273,Madrid,2018-05-14,True
7220512,Private room,300.0,True,1,1,1,1,91,85,129,Barcelona,2020-12-16,True
7233689,Entire home/apt,680.0,True,29,59,89,364,90,3,5,Valencia,2020-08-30,True
7235801,Entire home/apt,910.0,True,3,29,59,320,93,43,69,Girona,2020-11-28,True
7238494,Entire home/apt,860.0,True,21,45,67,342,100,2,22,Mallorca,2018-04-18,True
7262344,Entire home/apt,1100.0,True,21,27,27,27,94,51,111,Madrid,2019-07-10,True
7262469,Private room,380.0,False,0,0,0,0,20,1,5,Barcelona,2017-04-08,False
7267861,Private room,5000.0,True,30,60,90,365,82,15,3,Barcelona,2020-08-24,True
7269512,Private room,450.0,False,11,41,71,346,91,11,57,Barcelona,2017-08-06,True
7269518,Private room,250.0,True,29,59,89,364,90,35,107,Barcelona,2018-11-07,True
7283797,Private room,300.0,False,3,5,9,213,82,89,403,Barcelona,2017-05-07,True
7289359,Private room,400.0,True,30,60,90,365,81,16,42,Barcelona,2018-09-11,True
7297898,Entire home/apt,2990.0,True,20,38,68,343,90,39,108,Mallorca,2018-08-21,True
7298598,Entire home/apt,900.0,True,0,0,0,261,98,38,87,Girona,2019-02-19,True
7302792,Entire home/apt,900.0,True,29,59,89,314,100,8,3,Girona,2018-10-20,True
7304217,Private room,390.0,False,7,37,62,62,100,1,5,Barcelona,2017-04-08,True
7316832,Entire home/apt,700.0,False,0,0,0,0,87,3,16,Barcelona,2017-02-09,True
7320001,Entire home/apt,500.0,True,1,3,10,214,98,58,137,Malaga,2019-02-24,True
7321726,Entire home/apt,550.0,True,12,21,33,262,88,50,115,Malaga,2019-02-24,True
7324276,Entire home/apt,770.0,True,6,29,43,187,92,13,27,Mallorca,2019-08-31,True
7333404,Entire home/apt,3500.0,True,0,2,2,2,84,12,23,Barcelona,2021-02-09,True
7334845,Private room,450.0,True,1,7,25,284,88,81,17,Mallorca,2019-06-27,True
7337595,Entire home/apt,950.0,False,24,51,71,326,94,55,293,Barcelona,2017-02-09,True
7338332,Entire home/apt,690.0,True,0,0,0,0,87,13,39,Barcelona,2018-04-12,True
7341153,Entire home/apt,720.0,True,23,53,83,358,97,12,24,Mallorca,2020-05-28,True
7352636,Entire home/apt,2000.0,True,30,60,90,365,86,7,11,Girona,2020-10-28,True
7355769,Private room,300.0,True,30,60,90,365,,0,,Barcelona,2018-10-10,
7356458,Private room,480.0,True,29,59,89,89,87,25,48,Barcelona,2019-12-10,True
7362133,Entire home/apt,2000.0,True,0,0,0,0,,0,,Girona,2019-03-30,
7362688,Entire home/apt,1350.0,True,30,60,90,365,60,2,9,Madrid,2020-09-13,False
7374096,Entire home/apt,1950.0,True,30,60,71,342,,0,,Girona,2019-05-29,
7375206,Private room,980.0,True,29,59,89,364,92,10,33,Girona,2019-02-19,True
7386172,Entire home/apt,2000.0,True,12,16,16,142,100,3,11,Mallorca,2019-09-28,True
7395565,Private room,250.0,True,23,53,77,317,86,14,39,Girona,2018-09-28,True
7396461,Private room,750.0,True,0,0,22,297,100,1,3,Girona,2019-07-29,True
7412177,Entire home/apt,800.0,False,0,0,0,0,100,3,15,Barcelona,2017-04-08,True
7414674,Private room,250.0,True,30,60,90,365,91,70,117,Malaga,2020-06-30,True
7432394,Private room,200.0,True,0,0,0,0,,0,,Madrid,2020-07-17,
7432987,Entire home/apt,1270.0,True,30,60,90,365,95,221,329,Madrid,2021-02-09,True
7434098,Entire home/apt,590.0,False,10,28,53,328,94,21,103,Madrid,2017-04-08,True
7436836,Entire home/apt,2500.0,True,19,49,79,354,100,2,6,Mallorca,2018-12-18,True
7437270,Private room,280.0,True,30,60,90,365,84,9,14,Barcelona,2020-09-12,True
7444465,Entire home/apt,460.0,True,0,0,13,288,94,57,119,Malaga,2019-06-30,True
7445971,Entire home/apt,5000.0,True,29,59,89,364,98,21,36,Madrid,2020-07-17,True
7448056,Private room,550.0,True,21,51,81,261,98,120,237,Barcelona,2019-10-16,True
7448196,Entire home/apt,700.0,True,0,4,18,130,100,3,13,Mallorca,2018-07-29,True
7448657,Entire home/apt,850.0,True,0,0,0,0,96,25,55,Valencia,2019-11-30,True
7451944,Entire home/apt,500.0,True,0,0,0,255,90,4,15,Barcelona,2017-10-07,True
7453345,Entire home/apt,1250.0,True,0,0,0,0,80,1,4,Barcelona,2017-10-07,True
7458322,Private room,900.0,True,0,0,0,0,95,43,99,Menorca,2019-02-24,True
7466870,Entire home/apt,550.0,True,18,18,18,167,100,2,24,Barcelona,2018-05-14,True
7488688,Entire home/apt,1600.0,True,0,10,30,251,97,7,23,Mallorca,2018-12-18,True
7489589,Private room,300.0,True,17,34,34,255,88,17,52,Barcelona,2018-04-12,True
7496805,Entire home/apt,1100.0,True,0,0,0,0,96,5,2,Barcelona,2017-09-12,True
7505970,Entire home/apt,1070.0,False,15,36,61,331,,0,,Madrid,2017-03-06,
7507208,Entire home/apt,400.0,True,0,25,26,26,87,66,118,Malaga,2020-05-31,True
7512059,Entire home/apt,1100.0,True,0,0,0,0,,0,,Madrid,2018-09-11,
7513927,Private room,410.0,True,1,1,1,1,94,124,431,Barcelona,2017-12-09,True
7522177,Private room,400.0,True,0,0,0,248,87,20,78,Barcelona,2017-09-12,True
7542869,Private room,600.0,True,0,0,0,0,100,4,16,Barcelona,2017-10-07,True
7551015,Entire home/apt,450.0,True,29,59,89,179,,0,,Girona,2018-11-26,
7562216,Entire home/apt,650.0,True,15,39,67,332,94,201,491,Madrid,2019-01-14,True
7574200,Private room,600.0,True,29,59,89,364,,0,,Barcelona,2018-10-10,
7576999,Private room,300.0,True,0,0,0,0,,0,,Barcelona,2020-09-12,
7578060,Private room,350.0,True,0,0,0,0,,0,,Madrid,2018-07-10,
7579001,Entire home/apt,1600.0,True,0,28,58,318,90,6,11,Girona,2020-02-29,True
7585653,Entire home/apt,3750.0,True,30,45,75,350,93,11,25,Mallorca,2019-05-27,True
7587716,Entire home/apt,1000.0,False,30,60,73,73,,0,,Barcelona,2017-02-09,
7588305,Entire home/apt,1000.0,False,12,35,61,325,,0,,Barcelona,2017-04-08,
7593131,Private room,250.0,True,19,41,60,269,,0,,Madrid,2018-07-10,
7599041,Private room,250.0,True,13,28,50,50,96,346,702,Malaga,2019-09-01,True
7599140,Entire home/apt,1500.0,True,21,51,81,356,,0,,Malaga,2020-06-30,
7606874,Entire home/apt,1000.0,False,9,23,53,328,70,2,1,Barcelona,2017-05-07,False
7608106,Entire home/apt,1880.0,True,1,8,28,36,100,1,3,Mallorca,2019-07-25,True
7610387,Entire home/apt,390.0,True,28,58,88,88,97,176,306,Sevilla,2020-05-30,True
7612210,Private room,300.0,True,0,0,0,0,,0,,Barcelona,2019-05-14,
7613318,Private room,330.0,True,15,35,65,84,85,133,345,Barcelona,2018-11-07,True
7624681,Private room,250.0,False,9,29,54,272,82,45,185,Barcelona,2017-08-06,True
7624956,Private room,150.0,True,0,0,0,0,93,9,16,Madrid,2020-05-14,True
7628374,Entire home/apt,1800.0,True,29,59,89,364,,0,,Barcelona,2019-12-10,
7628496,Entire home/apt,2430.0,True,29,56,86,358,,0,,Barcelona,2018-11-07,
7633010,Private room,390.0,False,28,58,88,179,100,2,19,Barcelona,2017-05-07,True
7634833,Private room,400.0,True,0,0,0,0,98,17,31,Barcelona,2020-02-16,True
7644233,Entire home/apt,3830.0,True,22,52,82,348,,1,2,Mallorca,2019-10-28,
7645328,Entire home/apt,2000.0,True,28,58,88,297,96,27,56,Girona,2019-10-30,True
7646595,Private room,540.0,True,30,60,90,365,93,74,28,Barcelona,2017-10-07,True
7646660,Entire home/apt,1250.0,True,14,29,53,222,93,61,174,Sevilla,2018-08-27,True
7650492,Entire home/apt,1000.0,True,0,0,0,0,100,5,15,Madrid,2018-05-14,True
7655260,Private room,300.0,True,29,54,84,359,89,121,205,Barcelona,2020-06-13,True
7673763,Entire home/apt,450.0,True,1,31,54,152,96,104,212,Valencia,2019-09-01,True
7683900,Entire home/apt,900.0,True,29,59,89,173,83,157,259,Barcelona,2020-08-24,True
7690343,Entire home/apt,5000.0,True,18,42,72,162,100,4,15,Girona,2018-08-30,True
7694865,Entire home/apt,650.0,True,0,0,0,0,70,3,5,Madrid,2020-06-13,False
7696397,Entire home/apt,2000.0,False,0,0,0,0,100,6,29,Barcelona,2017-05-07,True
7710206,Entire home/apt,1200.0,True,0,0,0,0,,0,,Madrid,2018-04-12,
7718951,Entire home/apt,600.0,True,26,47,69,333,98,193,363,Malaga,2020-10-30,True
7725978,Entire home/apt,600.0,False,11,41,71,346,91,56,258,Barcelona,2017-06-05,True
7727522,Private room,300.0,True,0,0,0,0,87,13,21,Madrid,2020-10-17,True
7732757,Entire home/apt,1500.0,True,13,33,50,279,98,124,296,Madrid,2019-01-14,True
7736462,Private room,350.0,True,0,0,0,0,,0,,Barcelona,2020-03-16,
7736738,Entire home/apt,1000.0,False,30,60,82,357,100,8,56,Madrid,2017-03-06,True
7745506,Entire home/apt,790.0,True,30,54,84,356,100,1,2,Valencia,2020-10-24,True
7746584,Entire home/apt,1950.0,True,27,57,87,267,99,64,119,Girona,2020-12-31,True
7755595,Private room,500.0,True,0,0,0,0,96,17,27,Barcelona,2020-10-12,True
7757714,Private room,250.0,False,0,0,0,216,60,3,13,Barcelona,2017-08-06,False
7767099,Entire home/apt,1800.0,True,20,50,80,355,,0,,Mallorca,2018-07-29,
7770648,Entire home/apt,900.0,True,2,16,33,266,88,112,387,Madrid,2018-01-17,True
7777582,Entire home/apt,690.0,True,20,28,34,34,93,110,208,Valencia,2020-05-31,True
7777757,Private room,300.0,True,0,16,46,321,94,69,137,Barcelona,2019-10-16,True
7783540,Entire home/apt,490.0,False,30,60,90,365,83,42,235,Madrid,2017-03-06,True
7805411,Private room,490.0,True,6,6,6,6,91,93,34,Barcelona,2017-11-13,True
7813061,Entire home/apt,1350.0,False,0,0,28,233,85,4,52,Mallorca,2017-03-15,True
7817899,Private room,240.0,True,7,28,49,49,90,224,417,Barcelona,2020-01-10,True
7819262,Private room,290.0,True,0,0,0,0,,0,,Madrid,2020-05-14,
7849235,Private room,1000.0,True,0,0,0,0,60,1,3,Barcelona,2018-08-14,False
7851117,Entire home/apt,1000.0,True,28,50,80,347,91,120,197,Barcelona,2020-08-24,True
7878984,Entire home/apt,620.0,True,26,56,78,271,100,4,12,Girona,2019-03-30,True
7879795,Private room,320.0,True,1,8,25,48,90,167,41,Barcelona,2019-12-10,True
7880349,Entire home/apt,500.0,True,29,57,70,263,94,45,106,Girona,2019-02-19,True
7885189,Entire home/apt,800.0,True,0,9,39,114,90,43,132,Girona,2018-04-21,True
7887621,Entire home/apt,850.0,True,26,56,59,301,87,11,35,Malaga,2019-03-31,True
7897182,Entire home/apt,850.0,True,8,11,11,269,94,33,89,Sevilla,2019-04-27,True
7899727,Entire home/apt,800.0,True,1,7,13,250,94,94,401,Barcelona,2018-04-12,True
7899729,Entire home/apt,580.0,True,0,0,0,0,80,2,4,Madrid,2019-12-10,True
7907083,Entire home/apt,1040.0,True,9,9,9,236,96,35,54,Madrid,2021-01-12,True
7907846,Entire home/apt,1000.0,True,0,0,0,0,78,8,19,Barcelona,2019-01-14,False
7908089,Entire home/apt,1500.0,True,23,53,83,358,96,41,105,Mallorca,2019-09-28,True
7914789,Entire home/apt,800.0,True,16,46,76,166,94,21,4,Mallorca,2019-11-28,True
7928220,Entire home/apt,950.0,True,0,0,0,0,,0,,Mallorca,2020-05-28,
7933821,Entire home/apt,450.0,True,30,31,31,203,91,49,86,Valencia,2020-04-28,True
7938522,Entire home/apt,2500.0,True,10,24,41,312,92,40,87,Mallorca,2019-07-25,True
7944610,Entire home/apt,3500.0,False,10,28,52,313,86,42,194,Barcelona,2017-08-06,True
7968113,Private room,380.0,True,29,59,89,364,96,85,25,Madrid,2018-08-14,True
7968185,Shared room,250.0,True,30,60,90,365,90,6,25,Barcelona,2018-02-07,True
7968876,Entire home/apt,570.0,True,0,6,16,268,98,64,166,Sevilla,2018-11-22,True
7968938,Private room,490.0,True,11,32,62,82,97,130,298,Barcelona,2019-05-14,True
7978189,Entire home/apt,1500.0,True,27,57,87,362,100,4,12,Barcelona,2019-12-10,True
7980877,Private room,330.0,True,0,9,39,314,93,3,14,Barcelona,2018-04-12,True
7992378,Entire home/apt,950.0,True,30,60,90,365,80,1,10,Barcelona,2017-10-07,True
7998100,Entire home/apt,630.0,True,1,31,61,204,88,31,81,Barcelona,2018-12-10,True
8011473,Entire home/apt,700.0,True,29,59,89,364,,0,,Madrid,2018-08-14,
8011996,Entire home/apt,1000.0,True,30,60,90,206,,1,21,Barcelona,2018-04-12,
8012945,Entire home/apt,2800.0,True,28,58,77,332,90,4,11,Girona,2019-04-29,True
8021499,Entire home/apt,900.0,True,0,0,0,0,100,2,6,Valencia,2020-08-30,True
