apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,first_review_date,last_review_date,number_of_reviews,reviews_per_month,city,insert_date,price_missing,reviews 80+
19344281,Entire home/apt,550.0,True,5,15,37,214,95,2017-07-24,2019-09-16,96,3.66,Malaga,2019-09-30,False,True
19345027,Entire home/apt,800.0,True,13,33,49,49,94,2017-06-25,2018-01-14,41,6.05,Madrid,2018-01-17,False,True
19354061,Private room,640.0,True,30,60,90,365,90,2017-06-25,2017-11-18,24,1.23,Barcelona,2019-02-06,False,True
19355899,Entire home/apt,640.0,True,6,15,15,15,99,2017-12-03,2019-01-02,77,5.75,Madrid,2019-01-14,False,True
19358247,Entire home/apt,450.0,True,18,28,28,28,95,2017-07-15,2017-10-30,4,0.3,Girona,2018-08-30,False,True
19362573,Entire home/apt,450.0,True,4,17,17,84,98,2017-06-25,2018-12-27,43,1.68,Madrid,2019-08-12,False,True
19368505,Entire home/apt,590.0,True,0,0,0,0,100,2017-06-19,2018-03-23,4,0.29,Madrid,2018-08-14,False,True
19373219,Entire home/apt,1570.0,True,0,0,0,202,,,,0,,Mallorca,2020-10-21,False,
19373276,Entire home/apt,1490.0,True,0,16,46,214,92,2017-07-12,2020-03-02,58,1.75,Madrid,2020-04-17,False,True
19373600,Entire home/apt,700.0,True,0,0,0,0,,,,0,,Girona,2018-09-28,False,
19376228,Entire home/apt,1100.0,True,28,58,88,174,93,2017-06-26,2020-02-15,59,1.8,Madrid,2020-03-17,False,True
19376372,Private room,600.0,True,29,59,89,89,100,2017-06-23,2017-09-25,5,0.73,Barcelona,2018-01-17,False,True
19376646,Entire home/apt,600.0,True,12,26,31,276,100,2017-07-24,2018-12-17,20,1.1,Sevilla,2019-01-29,False,True
19378717,Entire home/apt,3850.0,True,20,44,56,155,,,,0,,Mallorca,2020-09-19,False,
19380351,Entire home/apt,1400.0,True,30,54,84,84,91,2017-07-12,2017-10-15,14,2.25,Barcelona,2018-01-17,False,True
19386220,Private room,340.0,True,5,5,31,306,85,2017-07-06,2018-03-04,16,1.74,Barcelona,2018-04-12,False,True
19389216,Entire home/apt,650.0,True,0,0,0,272,94,2017-06-26,2020-03-20,125,3.09,Madrid,2020-11-06,False,True
19396102,Private room,300.0,True,22,48,63,138,100,2017-07-02,2019-03-18,12,0.55,Valencia,2019-05-01,False,True
19396661,Entire home/apt,340.0,True,22,46,76,351,84,2017-08-03,2017-11-06,9,2.4,Malaga,2017-11-25,False,True
19399175,Entire home/apt,1270.0,True,0,0,0,201,,,,0,,Mallorca,2018-10-17,False,
19399865,Private room,410.0,True,4,32,62,153,91,2017-07-09,2017-12-30,17,2.43,Barcelona,2018-02-07,False,True
19402970,Entire home/apt,2500.0,True,0,0,26,301,,2019-03-30,2019-03-30,1,0.17,Mallorca,2019-09-28,False,
19404915,Entire home/apt,1000.0,True,0,0,0,0,,,,0,,Madrid,2020-03-17,False,
19406810,Private room,450.0,True,0,0,0,0,100,2017-06-25,2017-09-05,2,0.13,Madrid,2018-10-10,False,True
19409186,Private room,2500.0,True,0,0,0,0,,,,0,,Madrid,2020-08-25,False,
19410032,Private room,500.0,True,0,0,0,0,,2017-06-21,2017-06-21,1,0.03,Barcelona,2020-06-13,False,
19410686,Private room,250.0,True,0,0,0,0,,,,0,,Madrid,2019-12-10,False,
19411356,Entire home/apt,300.0,True,0,0,0,0,90,2017-07-03,2018-08-30,2,0.06,Madrid,2020-04-17,False,True
19412149,Entire home/apt,,True,9,10,10,85,100,2018-08-10,2019-07-09,4,0.18,Menorca,2020-05-31,True,True
19418846,Private room,300.0,True,0,0,0,0,89,2017-07-11,2019-06-22,17,0.5,Barcelona,2020-05-11,False,True
19419933,Entire home/apt,790.0,True,28,58,81,171,99,2017-08-06,2018-11-19,17,0.59,Valencia,2019-12-31,False,True
19420887,Private room,340.0,True,21,36,49,49,97,2017-07-17,2019-01-22,33,1.73,Mallorca,2019-02-17,False,True
19423176,Entire home/apt,600.0,True,28,58,88,178,94,2017-06-25,2018-10-28,14,0.85,Madrid,2018-11-07,False,True
19425693,Private room,700.0,True,30,60,90,365,67,2017-07-13,2017-09-27,6,0.87,Barcelona,2018-02-07,False,False
19426007,Entire home/apt,1050.0,True,19,49,52,52,,2017-06-26,2017-06-26,1,0.07,Girona,2018-08-30,False,
19426209,Entire home/apt,1200.0,True,0,0,0,27,98,2017-08-12,2020-07-30,11,0.29,Girona,2020-10-28,False,True
19429639,Entire home/apt,550.0,True,1,8,22,80,88,2017-08-25,2018-04-04,24,3.17,Barcelona,2018-04-12,False,True
19433592,Entire home/apt,540.0,True,12,41,56,56,95,2017-07-23,2017-12-29,13,2.22,Madrid,2018-01-17,False,True
19438429,Entire home/apt,550.0,True,4,24,47,137,95,2017-06-26,2018-09-20,108,6.97,Madrid,2018-10-10,False,True
19444196,Entire home/apt,1100.0,True,20,40,70,259,95,2017-07-12,2020-01-05,27,0.85,Valencia,2020-02-29,False,True
19445128,Entire home/apt,890.0,True,4,8,20,265,94,2017-11-12,2019-02-26,16,0.91,Valencia,2019-05-01,False,True
19446901,Entire home/apt,1390.0,True,19,45,75,346,95,2017-07-04,2018-10-23,92,5.7,Madrid,2018-11-07,False,True
19451361,Entire home/apt,700.0,True,25,48,48,48,89,2017-06-25,2018-03-25,9,0.72,Madrid,2018-07-10,False,True
19454469,Entire home/apt,670.0,True,29,59,89,179,90,2017-07-16,2019-08-22,6,0.14,Girona,2021-01-31,False,True
19455452,Entire home/apt,630.0,True,0,9,28,232,89,2017-09-11,2019-06-03,33,1.58,Madrid,2019-06-07,False,True
19461678,Entire home/apt,450.0,True,21,51,76,351,92,2017-07-30,2018-04-01,10,1.19,Madrid,2018-04-12,False,True
19464663,Entire home/apt,1890.0,True,11,22,52,197,88,2017-10-06,2018-04-14,5,0.69,Barcelona,2018-05-14,False,True
