Totales Territoriales;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;04 Balears, Illes;Extranjeros;Noviembre;35.360
Total Nacional;04 Balears, Illes;Extranjeros;Diciembre;31.355
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Total;4.211.955
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Enero;12.006
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Febrero;12.297
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Marzo;54.290
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Abril;147.418
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Mayo;534.809
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Junio;705.231
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Julio;795.071
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Agosto;849.429
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Septiembre;672.347
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Octubre;395.356
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Noviembre;19.061
Total Nacional;04 Balears, Illes;Unión Europea27 (sin España);Diciembre;14.639
Total Nacional;04 Balears, Illes;Alemania;Total;1.255.771
Total Nacional;04 Balears, Illes;Alemania;Enero;7.995
Total Nacional;04 Balears, Illes;Alemania;Febrero;6.273
Total Nacional;04 Balears, Illes;Alemania;Marzo;30.869
Total Nacional;04 Balears, Illes;Alemania;Abril;37.690
Total Nacional;04 Balears, Illes;Alemania;Mayo;160.976
Total Nacional;04 Balears, Illes;Alemania;Junio;209.687
Total Nacional;04 Balears, Illes;Alemania;Julio;202.324
Total Nacional;04 Balears, Illes;Alemania;Agosto;208.499
Total Nacional;04 Balears, Illes;Alemania;Septiembre;198.507
Total Nacional;04 Balears, Illes;Alemania;Octubre;173.707
Total Nacional;04 Balears, Illes;Alemania;Noviembre;10.171
Total Nacional;04 Balears, Illes;Alemania;Diciembre;9.074
Total Nacional;04 Balears, Illes;Austria;Total;57.737
Total Nacional;04 Balears, Illes;Austria;Enero;381
Total Nacional;04 Balears, Illes;Austria;Febrero;342
Total Nacional;04 Balears, Illes;Austria;Marzo;2.973
Total Nacional;04 Balears, Illes;Austria;Abril;1.267
Total Nacional;04 Balears, Illes;Austria;Mayo;6.134
Total Nacional;04 Balears, Illes;Austria;Junio;12.394
Total Nacional;04 Balears, Illes;Austria;Julio;10.039
Total Nacional;04 Balears, Illes;Austria;Agosto;6.889
Total Nacional;04 Balears, Illes;Austria;Septiembre;11.225
Total Nacional;04 Balears, Illes;Austria;Octubre;4.822
Total Nacional;04 Balears, Illes;Austria;Noviembre;774
Total Nacional;04 Balears, Illes;Austria;Diciembre;496
Total Nacional;04 Balears, Illes;Bélgica;Total;78.874
Total Nacional;04 Balears, Illes;Bélgica;Enero;200
Total Nacional;04 Balears, Illes;Bélgica;Febrero;244
Total Nacional;04 Balears, Illes;Bélgica;Marzo;2.603
Total Nacional;04 Balears, Illes;Bélgica;Abril;3.255
Total Nacional;04 Balears, Illes;Bélgica;Mayo;9.401
Total Nacional;04 Balears, Illes;Bélgica;Junio;12.272
Total Nacional;04 Balears, Illes;Bélgica;Julio;17.160
Total Nacional;04 Balears, Illes;Bélgica;Agosto;11.387
Total Nacional;04 Balears, Illes;Bélgica;Septiembre;14.828
Total Nacional;04 Balears, Illes;Bélgica;Octubre;7.012
Total Nacional;04 Balears, Illes;Bélgica;Noviembre;241
