apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+,fully_booked,occ_month,occ_2month,occ_3month,occ_year
9937559,Entire home/apt,990.0,False,0,1,7,170,95.0,101,541.0,Barcelona,2017-08-06,True,False,1.0,0.9833333333333333,0.9222222222222223,0.5342465753424658
9940226,Entire home/apt,1900.0,True,9,18,34,294,94.0,146,458.0,Madrid,2018-08-14,True,False,0.7,0.7,0.6222222222222222,0.19452054794520549
9941704,Private room,350.0,True,0,15,45,135,60.0,1,4.0,Barcelona,2018-05-14,False,False,1.0,0.75,0.5,0.6301369863013698
9949200,Entire home/apt,2500.0,False,30,60,78,243,93.0,3,28.0,Mallorca,2017-03-15,True,False,0.0,0.0,0.13333333333333333,0.33424657534246577
9951270,Entire home/apt,1670.0,True,13,43,73,87,,0,,Mallorca,2019-07-25,,False,0.5666666666666667,0.2833333333333333,0.18888888888888888,0.7616438356164383
9976010,Private room,450.0,True,0,0,0,0,96.0,16,33.0,Barcelona,2019-12-10,True,True,1.0,1.0,1.0,1.0
9982070,Entire home/apt,1340.0,True,10,18,18,18,,0,,Mallorca,2020-09-19,,False,0.6666666666666666,0.7,0.8,0.9506849315068493
9982451,Private room,200.0,False,1,1,5,280,88.0,8,57.0,Madrid,2017-04-08,True,False,0.9666666666666667,0.9833333333333333,0.9444444444444444,0.2328767123287671
9986381,Entire home/apt,1290.0,True,4,10,16,251,94.0,110,276.0,Barcelona,2019-04-10,True,False,0.8666666666666667,0.8333333333333334,0.8222222222222222,0.31232876712328766
9991303,Entire home/apt,2500.0,True,29,48,48,48,92.0,10,48.0,Barcelona,2017-11-13,True,False,0.03333333333333333,0.2,0.4666666666666667,0.8684931506849315
10003583,Entire home/apt,980.0,True,0,0,0,0,100.0,1,3.0,Mallorca,2018-11-20,True,True,1.0,1.0,1.0,1.0
10005342,Entire home/apt,300.0,True,0,0,7,282,78.0,69,17.0,Barcelona,2019-05-14,False,False,1.0,1.0,0.9222222222222223,0.2273972602739726
10007695,Private room,350.0,False,0,0,0,245,,0,,Barcelona,2017-05-07,,False,1.0,1.0,1.0,0.3287671232876712
10008836,Entire home/apt,950.0,True,11,38,68,283,86.0,13,43.0,Girona,2018-09-28,True,False,0.6333333333333333,0.36666666666666664,0.24444444444444444,0.22465753424657534
10016232,Entire home/apt,600.0,True,0,0,0,0,87.0,15,42.0,Madrid,2019-01-14,True,True,1.0,1.0,1.0,1.0
10030761,Entire home/apt,3500.0,True,0,0,0,167,,0,,Mallorca,2021-01-16,,False,1.0,1.0,1.0,0.5424657534246575
10048434,Entire home/apt,1560.0,True,0,0,0,0,,0,,Barcelona,2017-12-09,,True,1.0,1.0,1.0,1.0
10049186,Private room,300.0,True,29,59,89,89,95.0,29,56.0,Barcelona,2020-08-24,True,False,0.03333333333333333,0.016666666666666666,0.011111111111111112,0.7561643835616438
10051885,Entire home/apt,500.0,True,0,0,0,0,82.0,82,171.0,Barcelona,2019-12-10,True,True,1.0,1.0,1.0,1.0
10052073,Entire home/apt,1200.0,True,20,50,80,170,99.0,53,162.0,Madrid,2018-11-07,True,False,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.5342465753424658
10052599,Entire home/apt,900.0,True,27,54,84,255,87.0,15,33.0,Barcelona,2020-03-16,True,False,0.1,0.1,0.06666666666666667,0.3013698630136986
10064526,Entire home/apt,760.0,True,26,56,86,176,96.0,178,314.0,Valencia,2020-08-30,True,False,0.13333333333333333,0.06666666666666667,0.044444444444444446,0.5178082191780822
10065456,Entire home/apt,600.0,True,2,7,22,297,100.0,22,86.0,Mallorca,2018-07-29,True,False,0.9333333333333333,0.8833333333333333,0.7555555555555555,0.1863013698630137
