Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M05;552.365
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M06;546.344
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M07;502.468
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M08;476.530
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M09;537.433
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M10;557.933
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M11;525.293
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2016M12;546.597
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M01;485.984
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M02;512.811
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M03;527.856
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M04;536.729
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M05;553.773
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M06;536.784
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M07;511.157
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M08;478.174
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M09;518.868
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M10;532.131
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M11;541.722
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2017M12;602.508
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M01;514.887
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M02;530.705
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M03;564.073
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M04;520.285
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M05;562.675
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M06;575.242
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M07;516.910
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M08;481.301
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M09;554.765
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M10;559.826
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M11;581.438
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2018M12;598.334
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M01;504.310
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M02;528.779
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M03;579.601
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M04;544.970
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M05;568.723
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M06;577.243
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M07;528.508
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M08;470.435
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M09;504.841
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M10;564.969
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M11;561.920
Viajero;Total;Residentes en España;Total Nacional;13 Madrid, Comunidad de;;2019M12;569.533
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M01;294.711
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M02;348.713
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M03;456.357
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M04;698.076
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M05;859.037
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M06;753.209
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M07;708.513
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M08;810.848
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M09;886.033
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M10;813.348
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M11;393.427
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2015M12;330.621
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2016M01;337.184
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2016M02;383.563
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2016M03;581.689
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2016M04;787.261
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2016M05;930.155
Viajero;Total;Residentes en el Extranjero;Total Nacional;01 Andalucía;;2016M06;833.009
