Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
04 Balears, Illes;Rusia;Abril;1.127
04 Balears, Illes;Rusia;Mayo;8.784
04 Balears, Illes;Rusia;Junio;15.683
04 Balears, Illes;Rusia;Julio;18.208
04 Balears, Illes;Rusia;Agosto;17.417
04 Balears, Illes;Rusia;Septiembre;17.768
04 Balears, Illes;Rusia;Octubre;4.347
04 Balears, Illes;Rusia;Noviembre;465
04 Balears, Illes;Rusia;Diciembre;322
04 Balears, Illes;Suiza;Enero;795
04 Balears, Illes;Suiza;Febrero;1.999
04 Balears, Illes;Suiza;Marzo;5.804
04 Balears, Illes;Suiza;Abril;17.877
04 Balears, Illes;Suiza;Mayo;28.318
04 Balears, Illes;Suiza;Junio;33.060
04 Balears, Illes;Suiza;Julio;51.242
04 Balears, Illes;Suiza;Agosto;30.454
04 Balears, Illes;Suiza;Septiembre;37.131
04 Balears, Illes;Suiza;Octubre;26.180
04 Balears, Illes;Suiza;Noviembre;1.347
04 Balears, Illes;Suiza;Diciembre;2.180
04 Balears, Illes;Japón;Enero;160
04 Balears, Illes;Japón;Febrero;682
04 Balears, Illes;Japón;Marzo;248
04 Balears, Illes;Japón;Abril;469
04 Balears, Illes;Japón;Mayo;747
04 Balears, Illes;Japón;Junio;1.030
04 Balears, Illes;Japón;Julio;1.282
04 Balears, Illes;Japón;Agosto;2.248
04 Balears, Illes;Japón;Septiembre;1.553
04 Balears, Illes;Japón;Octubre;802
04 Balears, Illes;Japón;Noviembre;227
04 Balears, Illes;Japón;Diciembre;373
04 Balears, Illes;Estados Unidos;Enero;568
04 Balears, Illes;Estados Unidos;Febrero;758
04 Balears, Illes;Estados Unidos;Marzo;2.349
04 Balears, Illes;Estados Unidos;Abril;4.495
04 Balears, Illes;Estados Unidos;Mayo;10.908
04 Balears, Illes;Estados Unidos;Junio;17.946
04 Balears, Illes;Estados Unidos;Julio;20.149
04 Balears, Illes;Estados Unidos;Agosto;18.803
04 Balears, Illes;Estados Unidos;Septiembre;15.684
04 Balears, Illes;Estados Unidos;Octubre;8.711
04 Balears, Illes;Estados Unidos;Noviembre;1.273
04 Balears, Illes;Estados Unidos;Diciembre;1.334
04 Balears, Illes;Países africanos;Enero;320
04 Balears, Illes;Países africanos;Febrero;296
04 Balears, Illes;Países africanos;Marzo;277
04 Balears, Illes;Países africanos;Abril;703
04 Balears, Illes;Países africanos;Mayo;1.402
04 Balears, Illes;Países africanos;Junio;1.828
04 Balears, Illes;Países africanos;Julio;3.490
04 Balears, Illes;Países africanos;Agosto;4.304
04 Balears, Illes;Países africanos;Septiembre;7.326
04 Balears, Illes;Países africanos;Octubre;1.149
04 Balears, Illes;Países africanos;Noviembre;235
04 Balears, Illes;Países africanos;Diciembre;291
09 Cataluña;Residentes en España;Enero;382.568
09 Cataluña;Residentes en España;Febrero;421.878
09 Cataluña;Residentes en España;Marzo;586.368
09 Cataluña;Residentes en España;Abril;614.901
09 Cataluña;Residentes en España;Mayo;627.770
09 Cataluña;Residentes en España;Junio;764.069
09 Cataluña;Residentes en España;Julio;828.278
09 Cataluña;Residentes en España;Agosto;894.527
09 Cataluña;Residentes en España;Septiembre;705.950
09 Cataluña;Residentes en España;Octubre;590.105
09 Cataluña;Residentes en España;Noviembre;428.103
09 Cataluña;Residentes en España;Diciembre;485.083
09 Cataluña;Alemania;Enero;36.504
09 Cataluña;Alemania;Febrero;44.553
09 Cataluña;Alemania;Marzo;68.320
09 Cataluña;Alemania;Abril;66.929
09 Cataluña;Alemania;Mayo;96.580
09 Cataluña;Alemania;Junio;97.720
09 Cataluña;Alemania;Julio;107.767
09 Cataluña;Alemania;Agosto;96.176
09 Cataluña;Alemania;Septiembre;97.834
09 Cataluña;Alemania;Octubre;90.530
09 Cataluña;Alemania;Noviembre;50.904
09 Cataluña;Alemania;Diciembre;33.468
09 Cataluña;Austria;Enero;3.501
09 Cataluña;Austria;Febrero;5.295
09 Cataluña;Austria;Marzo;7.547
09 Cataluña;Austria;Abril;8.440
09 Cataluña;Austria;Mayo;9.393
09 Cataluña;Austria;Junio;7.304
09 Cataluña;Austria;Julio;8.722
09 Cataluña;Austria;Agosto;9.654
09 Cataluña;Austria;Septiembre;9.010
09 Cataluña;Austria;Octubre;9.592
09 Cataluña;Austria;Noviembre;6.160
09 Cataluña;Austria;Diciembre;5.399
09 Cataluña;Bélgica;Enero;11.055
09 Cataluña;Bélgica;Febrero;13.989
09 Cataluña;Bélgica;Marzo;19.221
09 Cataluña;Bélgica;Abril;30.381
09 Cataluña;Bélgica;Mayo;33.096
09 Cataluña;Bélgica;Junio;36.402
09 Cataluña;Bélgica;Julio;62.502
09 Cataluña;Bélgica;Agosto;43.514
09 Cataluña;Bélgica;Septiembre;40.592
