cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight
Universidad,Asalariado,Vive solo,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,33,110,2022,1.0,1.0,1.0,6103.4019
Universidad,Desempleado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,36,111,2021,1.0,,1.0,6511.5063
Universidad,Asalariado,Vive solo,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,40,112,2022,1.0,1.0,0.0,3229.9297
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,56,113,2022,1.0,,1.0,2827.5908
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64,114,2022,0.0,,,3011.5566
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,24,115,2022,1.0,1.0,1.0,6688.4551
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,44,116,2022,0.0,0.0,1.0,2192.8604
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,1,1,0,1,0,0,0,0,0,0,61,117,2022,1.0,1.0,0.0,4665.3408
Educación Primaria,Desempleado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,31,118,2022,1.0,1.0,0.0,1779.8948
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,66,119,2022,1.0,0.0,,1323.8273
Educación Secundaria,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,24,120,2022,,,,672.11249
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,76,121,2022,1.0,,,8924.8916
Educación Secundaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,45,122,2022,0.0,0.0,1.0,1090.6804
Educación Primaria,Jubilado,Vive solo,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,68,123,2022,1.0,0.0,,2916.0212
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,19,124,2022,1.0,0.0,0.0,1388.7678
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,51,125,2022,1.0,0.0,1.0,3632.2009
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,44,126,2021,1.0,1.0,1.0,6069.48
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,61,127,2022,,0.0,,7457.9155
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,35,128,2021,1.0,1.0,,7541.2021
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,44,129,2022,1.0,0.0,0.0,3451.9097
Universidad,Asalariado,,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,54,130,2022,1.0,1.0,1.0,510.67456
Universidad,Asalariado,Otros adultos,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,35,131,2022,1.0,0.0,0.0,2465.7102
Educación Primaria,Autónomo,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,51,132,2022,0.0,0.0,1.0,4935.6953
Educación Primaria,Asalariado,Vive solo,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,53,133,2022,1.0,0.0,,6842.3696
Educación Secundaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,46,134,2022,1.0,,,3449.5601
Educación Primaria,Desempleado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,63,135,2022,1.0,,0.0,5277.3672
Educación Primaria,Desempleado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,32,136,2021,0.0,0.0,,3675.6309
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,1,0,1,0,0,0,0,0,0,37,137,2022,1.0,0.0,1.0,8136.6147
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,30,138,2022,1.0,0.0,,3756.2429
Educación Primaria,Autónomo,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,68,139,2022,0.0,0.0,1.0,2623.7188
Educación Primaria,Otros inactivos,Otros adultos,,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,18,140,2021,0.0,0.0,1.0,12835.982
Educación Primaria,Otros inactivos,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0,0,0,0,0,0,46,141,2022,0.0,0.0,0.0,8546.6094
